NOTE: This file contains default dependent matrixes. There is a matrix for each day. Each element in the matrix 
is the conditional probability of the bank indicated in its row heading going default given the bank indicated in 
 its column heading default.
   
  Date ,    ,  HR,  DIA,  SYS 
21/03/2016, HR, 1,  0.934350983053011,  0.230535347703894, 
, DIA, 0.432922808778091,  1,  0.184060258234728, 
, SYS, 0.113358842960563,  0.195333839282886,  1, 
22/03/2016, HR, 1,  0.945482861073345,  0.218060648159071, 
, DIA, 0.34150608571067,  1,  0.153672560534366, 
, SYS, 0.0711440398501131,  0.138807446499015,  1, 
23/03/2016, HR, 1,  0.924260450448461,  0.192320818685864, 
, DIA, 0.405535282765726,  1,  0.150958531371739, 
, SYS, 0.111280999270448,  0.199075632625117,  1, 
24/03/2016, HR, 1,  0.929315421486225,  0.194408598321837, 
, DIA, 0.383180945931972,  1,  0.146704420174085, 
, SYS, 0.109736973030871,  0.200835252026574,  1, 
25/03/2016, HR, 1,  0.902363236880598,  0.160787297563981, 
, DIA, 0.426557933603097,  1,  0.134046288621726, 
, SYS, 0.119676434135497,  0.211064439259265,  1, 
26/03/2016, HR, 1,  0.893491937546461,  0.138294497356819, 
, DIA, 0.402445304819306,  1,  0.115942777156909, 
, SYS, 0.0851879043335636,  0.158562507846603,  1, 
27/03/2016, HR, 1,  0.809485934238598,  0.126622066439498, 
, DIA, 0.595447525143278,  1,  0.14699997992514, 
, SYS, 0.120915802378701,  0.190834439199119,  1, 
28/03/2016, HR, 1,  0.804236335384279,  0.121130280795977, 
, DIA, 0.590603605027647,  1,  0.141893998268404, 
, SYS, 0.115214555462,  0.18378338571427,  1, 
29/03/2016, HR, 1,  0.770292355740967,  0.09183660941659, 
, DIA, 0.559401011245444,  1,  0.113855685370218, 
, SYS, 0.0861883015755344,  0.147136202890229,  1, 
30/03/2016, HR, 1,  0.768093667131116,  0.0913543101259997, 
, DIA, 0.56134813876877,  1,  0.113800670278202, 
, SYS, 0.0878459651852403,  0.149733678493513,  1, 
31/03/2016, HR, 1,  0.805128488054843,  0.0777642875458326, 
, DIA, 0.426865295919557,  1,  0.0794655072832238, 
, SYS, 0.0789300696020136,  0.152130150159089,  1, 
01/04/2016, HR, 1,  0.789483959390739,  0.0733214157796084, 
, DIA, 0.439897313993237,  1,  0.0788409226794761, 
, SYS, 0.0718310524297411,  0.138619741870636,  1, 
02/04/2016, HR, 1,  0.817913290491655,  0.0698640414065789, 
, DIA, 0.354737956952389,  1,  0.0631155912874234, 
, SYS, 0.0766348708743191,  0.159627968031493,  1, 
03/04/2016, HR, 1,  0.819272311450231,  0.0589424300296199, 
, DIA, 0.289005636984722,  1,  0.0479747491808677, 
, SYS, 0.0577268585602562,  0.133193970170789,  1, 
04/04/2016, HR, 1,  0.801932441430428,  0.0438658874054273, 
, DIA, 0.226194450580185,  1,  0.0327478600220864, 
, SYS, 0.0312083582518514,  0.0826005169967157,  1, 
05/04/2016, HR, 1,  0.609059543706727,  0.0253053349364376, 
, DIA, 0.363914043521345,  1,  0.0374328211368349, 
, SYS, 0.0328788608489533,  0.0813988311583707,  1, 
06/04/2016, HR, 1,  0.587803651689569,  0.0175688067992371, 
, DIA, 0.262806885996724,  1,  0.0227527362374737, 
, SYS, 0.0299762850644706,  0.0868289831031376,  1, 
07/04/2016, HR, 1,  0.473146916047495,  0.0125709974911897, 
, DIA, 0.306873068485514,  1,  0.0237991573435352, 
, SYS, 0.0295776059728442,  0.0863360345365013,  1, 
08/04/2016, HR, 1,  0.4017972897245,  0.00884413935034144, 
, DIA, 0.279505089749337,  1,  0.0189728371282902, 
, SYS, 0.041898298826208,  0.129208288503313,  1, 
09/04/2016, HR, 1,  0.19860669809369,  0.00847754874849681, 
, DIA, 0.605017757306871,  1,  0.0600785341147085, 
, SYS, 0.0549030638902553,  0.127723668130474,  1, 
10/04/2016, HR, 1,  0.101840788270033,  0.00598428410445198, 
, DIA, 0.722937999382381,  1,  0.0922716903090732, 
, SYS, 0.0641989839088675,  0.139445699971915,  1, 
11/04/2016, HR, 1,  0.0323576222488034,  0.00213219639966756, 
, DIA, 0.765815775836249,  1,  0.108566250310488, 
, SYS, 0.0702351573996955,  0.151103486331598,  1, 
12/04/2016, HR, 1,  0.0165949714980406,  0.00108025590509318, 
, DIA, 0.766751349018248,  1,  0.108586340295617, 
, SYS, 0.0660229443248728,  0.143636692901166,  1, 
13/04/2016, HR, 1,  0.0212069910916606,  0.00126558413132905, 
, DIA, 0.74756558341604,  1,  0.100749389613483, 
, SYS, 0.0455491438858558,  0.102863518735168,  1, 
14/04/2016, HR, 1,  0.0214678024535629,  0.00130552294250915, 
, DIA, 0.751627301945246,  1,  0.102500555752255, 
, SYS, 0.0485304198981968,  0.108828039141108,  1, 
15/04/2016, HR, 1,  0.0167987597901989,  0.00121843594043788, 
, DIA, 0.788550726290469,  1,  0.119547606125615, 
, SYS, 0.086665009646521,  0.181146337091526,  1, 
16/04/2016, HR, 1,  0.0384743490991892,  0.00261105746949411, 
, DIA, 0.769699707813267,  1,  0.10913180088003, 
, SYS, 0.0915546888615055,  0.191278184828434,  1, 
17/04/2016, HR, 1,  0.04020270929487,  0.00286706593284186, 
, DIA, 0.77926605597236,  1,  0.113340896368756, 
, SYS, 0.106541480102269,  0.217288754602589,  1, 
18/04/2016, HR, 1,  0.0108869674302643,  0.000547491818496186, 
, DIA, 0.703727016645266,  1,  0.0774773320504463, 
, SYS, 0.106228593759166,  0.232563286145391,  1, 
19/04/2016, HR, 1,  0.00516434464417428,  0.000235249202110712, 
, DIA, 0.678592515497723,  1,  0.0685687059184676, 
, SYS, 0.113853463150083,  0.252551639086217,  1, 
20/04/2016, HR, 1,  0.00424184079938704,  0.000251389910438968, 
, DIA, 0.744254333283413,  1,  0.0908728872541869, 
, SYS, 0.135322532444814,  0.278797961067393,  1, 
21/04/2016, HR, 1,  0.0053138231446555,  0.000273263416964923, 
, DIA, 0.70803872649929,  1,  0.0740383600283129, 
, SYS, 0.17057501486976,  0.346849280121065,  1, 
22/04/2016, HR, 1,  0.00455373071662356,  0.000243556424318112, 
, DIA, 0.719152503435588,  1,  0.0802179935771307, 
, SYS, 0.140769697277581,  0.293580854960494,  1, 
23/04/2016, HR, 1,  0.00223402388844865,  0.000127945654003454, 
, DIA, 0.735899692020022,  1,  0.0856324464741521, 
, SYS, 0.154387748778585,  0.313685785474723,  1, 
24/04/2016, HR, 1,  0.00231623109801789,  0.000122375651007013, 
, DIA, 0.715583704381968,  1,  0.0764797860224515, 
, SYS, 0.171558765106104,  0.347045171761153,  1, 
25/04/2016, HR, 1,  0.00232858460042024,  0.000129261398220795, 
, DIA, 0.727573748236343,  1,  0.0801298519993349, 
, SYS, 0.181925089122006,  0.360938399148377,  1, 
26/04/2016, HR, 1,  0.00242410169221255,  0.00012670407499054, 
, DIA, 0.712706850933353,  1,  0.0750533893031357, 
, SYS, 0.177064876177308,  0.356740196968081,  1, 
27/04/2016, HR, 1,  0.0088430974772882,  0.00046175187861134, 
, DIA, 0.710935661686199,  1,  0.0746724973522221, 
, SYS, 0.177382886721501,  0.356810672503822,  1, 
28/04/2016, HR, 1,  0.00773846525753523,  0.000456095519265628, 
, DIA, 0.740489929210911,  1,  0.084453184616617, 
, SYS, 0.195522986741333,  0.378349991577824,  1, 
29/04/2016, HR, 1,  0.0107295916740352,  0.000559318768706811, 
, DIA, 0.709752820294725,  1,  0.0734454467665056, 
, SYS, 0.189743549808454,  0.376659194378112,  1, 
30/04/2016, HR, 1,  0.0121083334975498,  0.000614332980853349, 
, DIA, 0.702588003624599,  1,  0.0715364929863345, 
, SYS, 0.18370912667011,  0.368670332567007,  1, 
01/05/2016, HR, 1,  0.00750474940281816,  0.000474100270915823, 
, DIA, 0.756713510328426,  1,  0.0922301972201571, 
, SYS, 0.1880438949585,  0.362799666374201,  1, 
02/05/2016, HR, 1,  0.00449205321201929,  0.000277465475514343, 
, DIA, 0.75194517647509,  1,  0.0880893889118241, 
, SYS, 0.209039755882352,  0.396462621933887,  1, 
03/05/2016, HR, 1,  0.00621661696577704,  0.000422155605561329, 
, DIA, 0.772533026488834,  1,  0.0965207007238706, 
, SYS, 0.22590335290707,  0.415630717532443,  1, 
04/05/2016, HR, 1,  0.0101652738029852,  0.000736323163621057, 
, DIA, 0.785436223149392,  1,  0.104406943885158, 
, SYS, 0.218800228908279,  0.401528935290955,  1, 
05/05/2016, HR, 1,  0.0112891431851822,  0.000900431878391039, 
, DIA, 0.804518765761778,  1,  0.115777680283964, 
, SYS, 0.223769543694123,  0.403738124008321,  1, 
06/05/2016, HR, 1,  0.00976433435653735,  0.000764046376556697, 
, DIA, 0.801004840701711,  1,  0.11017178021578, 
, SYS, 0.254608856956816,  0.447539791814338,  1, 
07/05/2016, HR, 1,  0.0113876795568996,  0.000804788867346568, 
, DIA, 0.78001590276798,  1,  0.0980831052887448, 
, SYS, 0.254203137824941,  0.452298278480253,  1, 
08/05/2016, HR, 1,  0.0164280146197702,  0.00120054467797186, 
, DIA, 0.786009935073327,  1,  0.101550835950908, 
, SYS, 0.255401115222425,  0.451528336451058,  1, 
09/05/2016, HR, 1,  0.0308233560138148,  0.0015890614942993, 
, DIA, 0.701611120341352,  1,  0.0676477214851798, 
, SYS, 0.244846973285171,  0.457921112907389,  1, 
10/05/2016, HR, 1,  0.0234966962152088,  0.000880086093314367, 
, DIA, 0.613442894513131,  1,  0.0456596250648962, 
, SYS, 0.242187454306842,  0.48127298707583,  1, 
11/05/2016, HR, 1,  0.0120864188482645,  0.000463201920390088, 
