NOTE: This file contains pair joint default matrixes. There is a matrix for each day. Each element in 
the matrix is the joint probability of banks indicated in its row and  column headings going default. 
   
  Date ,    ,  HR,  DIA,  SYS 
01/07/2011, HR, 0.222347000838927,  0.00408807400553447,  0.051942486623357, 
, DIA, 0.00408807400553447,  0.0117959068064951,  0.00315695202583738, 
, SYS, 0.051942486623357,  0.00315695202583738,  0.0730023917661703, 
02/07/2011, HR, 0.210077914143814,  0.00331335149568639,  0.0527043392735094, 
, DIA, 0.00331335149568639,  0.0099115614039411,  0.00276991520491925, 
, SYS, 0.0527043392735094,  0.00276991520491925,  0.0760928959796166, 
03/07/2011, HR, 0.219544420302498,  0.00302146624453662,  0.0709237224008067, 
, DIA, 0.00302146624453662,  0.00839659576667902,  0.00297251878626972, 
, SYS, 0.0709237224008067,  0.00297251878626972,  0.103364866098602, 
04/07/2011, HR, 0.208599079880628,  0.00567092801594612,  0.0664516278206326, 
, DIA, 0.00567092801594612,  0.0165723127339653,  0.00562191822926336, 
, SYS, 0.0664516278206326,  0.00562191822926336,  0.0989854673300998, 
05/07/2011, HR, 0.0718819321704657,  0.00253232808173454,  0.0276053044392121, 
, DIA, 0.00253232808173454,  0.0185853427094979,  0.00564404913516315, 
, SYS, 0.0276053044392121,  0.00564404913516315,  0.0779658869109155, 
06/07/2011, HR, 0.0296360798724427,  0.00156666604844027,  0.013570579447686, 
, DIA, 0.00156666604844027,  0.0263846922549321,  0.00863424667429679, 
, SYS, 0.013570579447686,  0.00863424667429679,  0.0840843362884621, 
07/07/2011, HR, 0.0673410532110424,  0.00303372478778825,  0.0267169014829154, 
, DIA, 0.00303372478778825,  0.0236799946035329,  0.00729495478772101, 
, SYS, 0.0267169014829154,  0.00729495478772101,  0.0802202585580181, 
08/07/2011, HR, 0.150879292938579,  0.00274352553468182,  0.0553603545477536, 
, DIA, 0.00274352553468182,  0.010300363088751,  0.00360606011295439, 
, SYS, 0.0553603545477536,  0.00360606011295439,  0.0979393635901337, 
09/07/2011, HR, 0.154008048130759,  0.00219161605889095,  0.0633491657024073, 
, DIA, 0.00219161605889095,  0.00795662084556711,  0.00311830845430428, 
, SYS, 0.0633491657024073,  0.00311830845430428,  0.113831418750739, 
10/07/2011, HR, 0.136587144575936,  0.0045740642039139,  0.0546643064135249, 
, DIA, 0.0045740642039139,  0.0186535192308874,  0.00680253402607165, 
, SYS, 0.0546643064135249,  0.00680253402607165,  0.1045451946054, 
11/07/2011, HR, 0.11989090229044,  0.00514471498841303,  0.053199591131234, 
, DIA, 0.00514471498841303,  0.0233709804958557,  0.00906140184169007, 
, SYS, 0.053199591131234,  0.00906140184169007,  0.113549744280911, 
12/07/2011, HR, 0.12457457963071,  0.00325789982610925,  0.0525524783583656, 
, DIA, 0.00325789982610925,  0.014264278376256,  0.00538024954853466, 
, SYS, 0.0525524783583656,  0.00538024954853466,  0.10731219183139, 
13/07/2011, HR, 0.151025357034389,  0.0127869402476489,  0.0634871214890598, 
, DIA, 0.0127869402476489,  0.0486996267262349,  0.0183171322022644, 
, SYS, 0.0634871214890598,  0.0183171322022644,  0.117998112037218, 
14/07/2011, HR, 0.12798929582064,  0.0096558415707025,  0.0603295944080257, 
, DIA, 0.0096558415707025,  0.0418314951747704,  0.0170539299863373, 
, SYS, 0.0603295944080257,  0.0170539299863373,  0.127687837845004, 
15/07/2011, HR, 0.114441195527158,  0.00755067948901229,  0.0536825859087067, 
, DIA, 0.00755067948901229,  0.0359756073958282,  0.0143541468846584, 
, SYS, 0.0536825859087067,  0.0143541468846584,  0.121194181907102, 
16/07/2011, HR, 0.130371158066528,  0.0143512791393214,  0.0607735537251259, 
, DIA, 0.0143512791393214,  0.0622587286155227,  0.0245534834456306, 
, SYS, 0.0607735537251259,  0.0245534834456306,  0.127837127132723, 
17/07/2011, HR, 0.116872942236756,  0.0146596327303736,  0.067802282086691, 
, DIA, 0.0146596327303736,  0.0701639285733331,  0.033885295457683, 
, SYS, 0.067802282086691,  0.033885295457683,  0.171027769862675, 
18/07/2011, HR, 0.11853721061846,  0.0145462173125972,  0.0689080257947327, 
, DIA, 0.0145462173125972,  0.0686765763719752,  0.0333706703260804, 
, SYS, 0.0689080257947327,  0.0333706703260804,  0.172254494496278, 
19/07/2011, HR, 0.134991748118861,  0.0176668045730003,  0.062792960401061, 
, DIA, 0.0176668045730003,  0.0751014713133894,  0.02931354550228, 
, SYS, 0.062792960401061,  0.02931354550228,  0.129951016752781, 
