  Date ,   P(all banks going default)  
 21/03/2016, 0.0129428916966473 
 22/03/2016, 0.00900565507571809 
 23/03/2016, 0.0107234537322757 
 24/03/2016, 0.0119707587808311 
 25/03/2016, 0.0106256041743341 
 26/03/2016, 0.0106932612296237 
 27/03/2016, 0.00938374306962884 
 28/03/2016, 0.00884429724604054 
 29/03/2016, 0.00788094701937197 
 30/03/2016, 0.005183056072157 
 31/03/2016, 0.00456229947644567 
 01/04/2016, 0.00334974644006266 
 02/04/2016, 0.00132229481685909 
 03/04/2016, 0.00183476965513623 
 04/04/2016, 0.00222023689110643 
 05/04/2016, 0.00173845245507588 
 06/04/2016, 0.00160583578316351 
 07/04/2016, 0.0014397918018922 
 08/04/2016, 0.000941902827865634 
 09/04/2016, 0.00082041693684954 
 10/04/2016, 0.000183840237186135 
 11/04/2016, 4.22249455714992E-05 
 12/04/2016, 3.1630826281818E-05 
 13/04/2016, 2.33486972452457E-05 
 14/04/2016, 3.35103607084838E-06 
 15/04/2016, 6.03888906051917E-06 
 16/04/2016, 4.94373312770496E-06 
 17/04/2016, 5.94441871316571E-06 
 18/04/2016, 1.55597593390071E-05 
 19/04/2016, 1.76798493584127E-05 
 20/04/2016, 1.73815425348745E-05 
 21/04/2016, 2.3312380607525E-05 
 22/04/2016, 2.35873111091022E-05 
 23/04/2016, 1.39115481233813E-05 
 24/04/2016, 1.13784012553981E-05 
 25/04/2016, 1.75322197605155E-05 
 26/04/2016, 2.00853472289943E-05 
 27/04/2016, 1.91337688618696E-05 
 28/04/2016, 7.36721535403632E-06 
 29/04/2016, 9.16515289825244E-06 
 30/04/2016, 7.8836402090193E-06 
 01/05/2016, 3.42578354558323E-06 
 02/05/2016, 7.41909555578272E-06 
 03/05/2016, 7.82621002774159E-06 
 04/05/2016, 1.30266581116521E-05 
 05/05/2016, 5.64064953064377E-06 
 06/05/2016, 3.46951388367291E-06 
 07/05/2016, 5.75716459483615E-06 
 08/05/2016, 4.74491117621504E-05 
 09/05/2016, 5.032126994982E-05 
 10/05/2016, 2.92520091238965E-05 
 11/05/2016, 2.58348232566383E-05 
 12/05/2016, 2.37449783098861E-05 
 13/05/2016, 1.37604418349245E-05 
 14/05/2016, 1.65033179242028E-05 
 15/05/2016, 1.24957772276924E-05 
 16/05/2016, 1.09535716103601E-05 
 17/05/2016, 5.86895436386955E-06 
 18/05/2016, 3.88921594685768E-06 
 19/05/2016, 3.18650136084704E-06 
 20/05/2016, 3.01620767710067E-06 
 21/05/2016, 2.30765008487729E-06 
 22/05/2016, 3.07044489926102E-06 
 23/05/2016, 3.34286074026837E-06 
 24/05/2016, 4.58360716725406E-05 
 25/05/2016, 3.28431595182271E-05 
 26/05/2016, 1.84935206091162E-05 
 27/05/2016, 5.49108328298605E-05 
 28/05/2016, 3.0345271504382E-05 
 29/05/2016, 1.28689936534119E-05 
 30/05/2016, 2.02218866069499E-05 
 31/05/2016, 8.03449770613324E-06 
 01/06/2016, 2.90370106090455E-05 
 02/06/2016, 5.4181189430477E-05 
 03/06/2016, 0.000106413239628541 
 04/06/2016, 0.000215696116609647 
 05/06/2016, 0.000240243318760071 
 06/06/2016, 0.000237098862488816 
