Date,rate_adj.00224014,rate_adj.00566018,rate_adj.00585018,rate_adj.00593038,rate_adj.00604611,rate_adj.00662577,rate_adj.00691212,rate_adj.00695437,rate_adj.00767012,rate_adj.01081165
10/06/1998,2448.567389,690.9628224,286.3572668,2130.146323,581.5784637,683.447552,489.0642522,799.5242894,356.6531838,164.3697939
11/06/1998,2431.323957,684.0875705,279.8491471,2119.862858,568.9837708,683.447552,480.8790765,790.6571069,356.6531838,164.3697939
14/06/1998,2414.080525,684.0875705,274.6426514,2099.295928,555.6482137,667.0494959,475.7633416,788.4403113,356.6531838,165.6900332
15/06/1998,2287.628688,650.3988358,271.3885915,2046.409536,534.1631495,638.9385426,454.2772552,766.272355,356.6531838,157.7685974
16/06/1998,2235.898391,670.3370665,266.8329077,2016.293675,539.3491994,647.7232155,458.3698431,765.5334231,356.6531838,159.0888367
17/06/1998,2241.646201,670.3370665,266.1820957,2045.675003,546.016978,646.5519258,478.8327825,761.8387637,356.6531838,161.7293153
18/06/1998,2218.654958,671.3683543,260.324788,1957.688982,548.2395709,640.1098323,496.226281,766.272355,356.6531838,161.7293153
21/06/1998,2201.411526,671.3683543,253.8166683,1899.031634,542.3126566,648.8945052,485.9948113,756.6662406,356.6531838,156.4483581
22/06/1998,2161.176851,671.3683543,253.8166683,1921.028139,553.4256209,664.1212716,481.9022234,764.0555594,356.6531838,155.7882384
23/06/1998,2126.689986,671.3683543,251.2134204,1891.699465,552.6847566,661.7786922,480.8790765,756.6662406,356.6531838,155.1281188
24/06/1998,2166.924661,718.4638303,251.2134204,1935.692476,562.3159923,661.7786922,489.0642522,761.0998319,359.1086274,155.7882384
25/06/1998,2132.437797,704.7133264,251.2134204,1987.017655,557.1299423,660.0217576,488.0411052,756.6662406,359.1086274,153.1477598
28/06/1998,2132.437797,704.7133264,247.3085486,2060.33934,548.9804352,654.7509538,487.0179583,753.7105131,359.1086274,152.4876401
29/06/1998,2149.681229,704.7133264,249.9117965,2082.335846,545.2761137,652.4083744,495.203134,746.3211944,359.1086274,149.1870419
30/06/1998,2149.681229,735.6519602,251.2134204,2104.332351,542.3126566,650.065795,495.203134,745.5822625,359.1086274,151.8275205
01/07/1998,2126.689986,735.6519602,251.2134204,2126.328856,540.7999295,634.8390286,490.0873992,747.0601262,359.1086274,150.5072812
