 Date ,  rate_adj.00691212,  rate_adj.00593038,  rate_adj.00604611,  rate_adj.00695437,  rate_adj.00662577,  rate_adj.00224014,  rate_adj.00585018,  rate_adj.00566018,  rate_adj.01081165,  rate_adj.00767012 
16/12/1998, 2.36997944108768,  2.74579425376499,  2.46781045765318,  2.43343465604824,  2.55432714553809,  2.21678761631431,  1.17032209553024,  0.14557370831331,  2.36370857469097,  0.119702358427597, 
17/12/1998, 2.30335373193353,  2.7115310400236,  2.38394853041438,  2.40840141599223,  2.55489919859893,  2.21648122405197,  1.10803787427927,  0.137283343403678,  2.35474645786874,  0.119575520901184, 
20/12/1998, 2.27636037805587,  2.67770107733658,  2.31490424304016,  2.38857397792669,  2.50154445098529,  2.20386169972612,  1.14215824204175,  0.138490571277429,  2.34589399996601,  0.140634403912818, 
21/12/1998, 2.13973057590727,  2.54753107024011,  2.16634473392164,  2.28172956443094,  2.36041614009801,  2.0530773600224,  1.09755203259705,  0.136175386796096,  2.20170427106606,  0.139971950555161, 
22/12/1998, 2.14177374568489,  2.52019549894968,  2.16252110079329,  2.27993030995815,  2.3559528384212,  2.00012295537354,  1.07419323474143,  0.157995878161338,  2.19513118832276,  0.148179488163971, 
23/12/1998, 2.14148992691157,  2.53751777165768,  2.17747431627081,  2.27867219537669,  2.38340669979826,  2.01879006104697,  1.07588544034288,  0.194746659145802,  2.20705969836604,  0.177863733276898, 
24/12/1998, 2.14206524272313,  2.49756819431856,  2.19253054028516,  2.3261794857409,  2.38748129258854,  2.02530833358626,  1.07311624903687,  0.198123258077523,  2.21510636949184,  0.224734664613394, 
27/12/1998, 2.09113344489496,  2.46783860131191,  2.17940649257912,  2.31267145389598,  2.37859977396416,  2.01739507019345,  1.01279238814867,  0.269919516905016,  2.15157656044804,  0.266856451498473, 
28/12/1998, 2.12191978564459,  2.53101014520477,  2.23048717959114,  2.37766799275377,  2.42907618646744,  1.99544362940201,  1.01914199886576,  0.305021390531269,  2.1706951322424,  0.290852704110524, 
29/12/1998, 2.20860587027056,  2.55086699252506,  2.27084281210457,  2.37633518031208,  2.47244285519803,  1.98318525444718,  1.00390224270616,  0.308246938139739,  2.24278898428168,  0.327286380705247, 
30/12/1998, 2.20589586555343,  2.55517911605785,  2.26895192936787,  2.38051609171255,  2.47340540569118,  1.9845368117904,  1.00683305530813,  0.331807378045707,  2.25710688906791,  0.331762497398519, 
31/12/1998, 2.20864024830599,  2.54749906807427,  2.2449133630237,  2.35893973103233,  2.47708124802532,  1.94590529225056,  1.00868746772221,  0.323021850568145,  2.2145004151434,  0.397928168423864, 
03/01/1999, 2.19855965089638,  2.51334618439784,  2.19426743225841,  2.33656733531403,  2.43802869446222,  1.92603126426207,  0.971141378419705,  0.322372361261229,  2.18707197287576,  0.396180862202833, 
04/01/1999, 2.18362769242387,  2.50498171687267,  2.16459696220886,  2.30080180252973,  2.42567563492854,  1.93950812132306,  0.970866607332055,  0.321981860620787,  2.14205699491844,  0.39497920565291, 
05/01/1999, 2.21012668179227,  2.50873631096014,  2.17181954324674,  2.30343159185038,  2.42270782805712,  1.9426847079083,  0.976047448465691,  0.323392664924797,  2.1433969444317,  0.39544252388225, 
06/01/1999, 2.18206958441348,  2.49583536653487,  2.17288634591622,  2.29844895148955,  2.3679062270251,  1.91700811829449,  0.997239401882227,  0.325370707433776,  2.11316618651723,  0.413568898364013, 
07/01/1999, 2.23838987896795,  2.55986645355835,  2.2290366607418,  2.361708761669,  2.45489177392354,  1.96653152917919,  0.991848326466483,  0.303160373567142,  2.21064355001837,  0.411387447393232, 
10/01/1999, 2.25552278874404,  2.53731356970181,  2.24065641578985,  2.3795334073707,  2.4684133992657,  1.98129196460877,  1.00032556687218,  0.342578341063727,  2.2145980796246,  0.418448483182635, 
11/01/1999, 2.27588771443555,  2.50892864061029,  2.19648186245937,  2.3705840592481,  2.44618583720568,  1.95081740447386,  0.977995870796533,  0.366555686896446,  2.18783548734411,  0.420513042808888, 
12/01/1999, 2.31693916637143,  2.49193103903383,  2.19865165249877,  2.38864295698154,  2.42455849998308,  1.95766259834572,  1.04920409786434,  0.393809266376526,  2.16264587713994,  0.427179460581486, 
13/01/1999, 2.4414502682505,  2.56738310786851,  2.27606348364845,  2.45774015326373,  2.50122460853086,  2.00012097914248,  0.988374938188853,  0.408353217610695,  2.2434754160856,  0.480624034740524, 
14/01/1999, 2.46074506500249,  2.60678913765714,  2.29810968274114,  2.4722690140542,  2.52046684444661,  2.02774881973435,  1.00018532702519,  0.475839677634201,  2.25544645880678,  0.490817929232033, 
17/01/1999, 2.38948927463655,  2.54528837561246,  2.2383841343083,  2.43195209932043,  2.48636542601378,  1.95382114730426,  0.896408227688918,  0.470040404401332,  2.18454532794931,  0.486518446974878, 
18/01/1999, 2.41536632410155,  2.60686915119044,  2.2996696509236,  2.49518912931004,  2.54443964715944,  2.02149715164376,  1.00594047317168,  0.582986622531415,  2.2804790480901,  0.505677099189894, 
19/01/1999, 2.37939345786483,  2.58594957205087,  2.26906324211844,  2.45710108726208,  2.52331491695074,  1.98490546796908,  0.910671437965807,  0.575582577077124,  2.27918915792733,  0.486338457020053, 
20/01/1999, 2.3383645903362,  2.53606822642001,  2.19085711347529,  2.41010840272323,  2.46808345151154,  1.92784535788915,  0.83006716513303,  0.583872687605261,  2.20222063171288,  0.455402835695787, 
21/01/1999, 2.36778015372174,  2.55492372553049,  2.22763063666868,  2.43430609252277,  2.50416851714724,  1.98886366021407,  0.798461432188951,  0.602077889092453,  2.28823532971076,  0.45619972506654, 
