NOTE: This file contains pair joint default matrixes. There is a matrix for each day. Each element in 
the matrix is the joint probability of banks indicated in its row and  column headings going default. 
   
  Date ,    ,  HR,  DIA,  SYS 
21/03/2016, HR, 0.0773873674432082,  0.0335027564774559,  0.00877254243312606, 
, DIA, 0.0335027564774559,  0.035856714537812,  0.00700402971474128, 
, SYS, 0.00877254243312606,  0.00700402971474128,  0.0380529169192472, 
22/03/2016, HR, 0.0770696551806179,  0.0263197562678039,  0.00548304661940436, 
, DIA, 0.0263197562678039,  0.0278373700374904,  0.00386403425215223, 
, SYS, 0.00548304661940436,  0.00386403425215223,  0.0251445947065359, 
23/03/2016, HR, 0.0643599657279133,  0.0261002369002617,  0.00716204129921395, 
, DIA, 0.0261002369002617,  0.0282390498128505,  0.00562170670622541, 
, SYS, 0.00716204129921395,  0.00562170670622541,  0.0372400728540596, 
24/03/2016, HR, 0.0668175340688618,  0.0256032059093482,  0.00733235393410402, 
, DIA, 0.0256032059093482,  0.0275506091014844,  0.00553313352238225, 
, SYS, 0.00733235393410402,  0.00553313352238225,  0.0377162018418833, 
25/03/2016, HR, 0.0516551642544986,  0.0220339201243275,  0.00618190586266177, 
, DIA, 0.0220339201243275,  0.0244180161865826,  0.00515377489424472, 
, SYS, 0.00618190586266177,  0.00515377489424472,  0.0384477253882686, 
26/03/2016, HR, 0.043164717232571,  0.0173714377841012,  0.00367711180219358, 
, DIA, 0.0173714377841012,  0.0194421875051311,  0.00308280200883748, 
, SYS, 0.00367711180219358,  0.00308280200883748,  0.0265889957480095, 
27/03/2016, HR, 0.0332434918232029,  0.019794754933247,  0.00401966348767236, 
, DIA, 0.019794754933247,  0.0244534884375303,  0.00466656775243824, 
, SYS, 0.00401966348767236,  0.00466656775243824,  0.0317453631953875, 
28/03/2016, HR, 0.0315984852935458,  0.0186621793277812,  0.00364060543636844, 
, DIA, 0.0186621793277812,  0.0232048447784495,  0.00426466493835755, 
, SYS, 0.00364060543636844,  0.00426466493835755,  0.0300552876823626, 
29/03/2016, HR, 0.0233252482912063,  0.0130481674816519,  0.00201036353404671, 
, DIA, 0.0130481674816519,  0.016939240516155,  0.00249237552939137, 
, SYS, 0.00201036353404671,  0.00249237552939137,  0.021890655010218, 
30/03/2016, HR, 0.0231922108970468,  0.01301890442099,  0.00203734215103072, 
, DIA, 0.01301890442099,  0.01694963124695,  0.00253793063571442, 
, SYS, 0.00203734215103072,  0.00253793063571442,  0.0223015438266759, 
31/03/2016, HR, 0.0223192987671279,  0.00952733407294704,  0.00176166380515754, 
, DIA, 0.00952733407294704,  0.0118333088622472,  0.00180020305409254, 
, SYS, 0.00176166380515754,  0.00180020305409254,  0.0226538924325546, 
01/04/2016, HR, 0.0204867849830965,  0.00901208168642115,  0.00147158732623764, 
, DIA, 0.00901208168642115,  0.01141515489862,  0.00158236582546004, 
, SYS, 0.00147158732623764,  0.00158236582546004,  0.0200703615797733, 
02/04/2016, HR, 0.0217528608383019,  0.00771656541164883,  0.0016670276814903, 
, DIA, 0.00771656541164883,  0.00943445411800355,  0.00150600274034326, 
, SYS, 0.0016670276814903,  0.00150600274034326,  0.023861025613862, 
03/04/2016, HR, 0.0195023952588298,  0.00563630216450593,  0.00112581201269268, 
, DIA, 0.00563630216450593,  0.006879644393851,  0.000916327150180227, 
, SYS, 0.00112581201269268,  0.000916327150180227,  0.0191001967873895, 
04/04/2016, HR, 0.0153341159248401,  0.00346849192675209,  0.000478552583257831, 
, DIA, 0.00346849192675209,  0.0043251672429728,  0.000357261050366812, 
, SYS, 0.000478552583257831,  0.000357261050366812,  0.0109094472165773, 
05/04/2016, HR, 0.00715792300527167,  0.00260486870406287,  0.000235344354457849, 
, DIA, 0.00260486870406287,  0.0042768703503268,  0.000348132247532493, 
, SYS, 0.000235344354457849,  0.000348132247532493,  0.00930018729445751, 
06/04/2016, HR, 0.00568484036433973,  0.00149401519354061,  0.000170410395307456, 
, DIA, 0.00149401519354061,  0.0025416909017939,  0.000220692436365261, 
, SYS, 0.000170410395307456,  0.000220692436365261,  0.00969959982227458, 
07/04/2016, HR, 0.00379475889401179,  0.00116450930596809,  0.000112239883329027, 
, DIA, 0.00116450930596809,  0.00246120024557277,  0.000212490269403016, 
, SYS, 0.000112239883329027,  0.000212490269403016,  0.00892847869929888, 
08/04/2016, HR, 0.00281260463316892,  0.000786137310423281,  0.000117843349400489, 
, DIA, 0.000786137310423281,  0.00195655204882619,  0.000252802741596483, 
, SYS, 0.000117843349400489,  0.000252802741596483,  0.0133244564261574, 
09/04/2016, HR, 0.00186853471684386,  0.0011304966838349,  0.000102588280940039, 
, DIA, 0.0011304966838349,  0.00569213775107224,  0.000727020713070892, 
, SYS, 0.000102588280940039,  0.000727020713070892,  0.0121011726365158, 
