NOTE: Each column in this file (except column 1) contains the conditional probabilities of all other banks
going default given the bank indicated in that column heading default.
   
  Date ,  HR,  DIA,  SYS 
 21/03/2016,  0.210435200624342,  0.378379267669576,  0.258220406330026, 
 22/03/2016,  0.146655427599572,  0.389615927500265,  0.210966936781071, 
 23/03/2016,  0.176365395883404,  0.345827900561597,  0.297516669652974, 
 24/03/2016,  0.205635799293538,  0.330473087388215,  0.320115028781618, 
 25/03/2016,  0.233709970468506,  0.264802784445027,  0.327678226929315, 
 26/03/2016,  0.234758309380624,  0.26268279507462,  0.332202588690587, 
 27/03/2016,  0.205732791721315,  0.235747233742844,  0.359568602521804, 
 28/03/2016,  0.210515596193458,  0.220496293448121,  0.353437783245285, 
 29/03/2016,  0.193597140820117,  0.221915154972954,  0.331130634698319, 
 30/03/2016,  0.150157177386945,  0.20501290231234,  0.269882428034137, 
 31/03/2016,  0.150989482998473,  0.208487721006201,  0.220097906727502, 
 01/04/2016,  0.111963524382799,  0.223795936427159,  0.165642343973403, 
 02/04/2016,  0.0464824024442523,  0.175969678972703,  0.123644693917059, 
 03/04/2016,  0.0637333411894603,  0.188938994849994,  0.143567573030686, 
 04/04/2016,  0.127732908684841,  0.123370403557162,  0.175044377035457, 
 05/04/2016,  0.182103555919247,  0.0871596914376817,  0.082289786675135, 
 06/04/2016,  0.183286899921495,  0.0804352097376501,  0.0772341217058358, 
 07/04/2016,  0.204128200433372,  0.0638339651577145,  0.0744610269411736, 
 08/04/2016,  0.259639581700285,  0.0306872215187526,  0.052866984043495, 
 09/04/2016,  0.276821296531138,  0.0245389704748712,  0.0452776320819332, 
 10/04/2016,  0.326101140429573,  0.00464997691195361,  0.00650012832384677, 
 11/04/2016,  0.315233390706827,  0.00112911981725107,  0.00168303109436246, 
 12/04/2016,  0.322100551302382,  0.000796186207020964,  0.00156917925013513, 
 13/04/2016,  0.330306805415946,  0.000565268403614658,  0.00113993263733691, 
 14/04/2016,  0.348068141598803,  7.61669268219499E-05,  0.000147091998177318, 
 15/04/2016,  0.345948197611093,  0.000137441590900717,  0.000275154834809658, 
 16/04/2016,  0.334425984343971,  0.000121520356939737,  0.000192182543311632, 
 17/04/2016,  0.341255830944132,  0.000141657309391638,  0.000234285022357072, 
 18/04/2016,  0.324828319748245,  0.000398691351000113,  0.000631177810779348, 
 19/04/2016,  0.359178110981472,  0.000387483990279635,  0.000705904946403819, 
 20/04/2016,  0.335427913875064,  0.000423898145994254,  0.000714716222934813, 
 21/04/2016,  0.337756952688195,  0.000544771333261513,  0.00112109902774411, 
 22/04/2016,  0.327210431255392,  0.000586573051463135,  0.00110571470569841, 
 23/04/2016,  0.285456825177629,  0.000405457719183759,  0.000837045410797169, 
 24/04/2016,  0.283434797319763,  0.000334900782426875,  0.000689984547794602, 
 25/04/2016,  0.326182896991308,  0.000425458072819979,  0.000910024461859309, 
 26/04/2016,  0.348502483827195,  0.000446619234355625,  0.000943065278065491, 
 27/04/2016,  0.340909746051415,  0.000420844130189021,  0.00102048636373707, 
 28/04/2016,  0.377888686022926,  0.000137588773467935,  0.000353043305185339, 
 29/04/2016,  0.381800774940621,  0.00017437938841848,  0.000404283803951407, 
 30/04/2016,  0.343367977934102,  0.000150248795816133,  0.000500404403604105, 
 01/05/2016,  0.373601284974676,  6.4068336984806E-05,  0.000171451493574142, 
 02/05/2016,  0.394016140494235,  0.000123618816722466,  0.000362481148777946, 
 03/05/2016,  0.374860535976181,  0.000146790579605787,  0.000384125212602461, 
 04/05/2016,  0.322658685284963,  0.000329128752702647,  0.000632281074213797, 
 05/05/2016,  0.273748729388211,  0.000147108267917976,  0.00046371349481719, 
 06/05/2016,  0.272114495543616,  9.29542523271364E-05,  0.000281247882863146, 
 07/05/2016,  0.275159803448662,  0.000161299408543924,  0.000426701494418031, 
 08/05/2016,  0.226667827511541,  0.00183789688941483,  0.00364955261060485, 
 09/05/2016,  0.22146114445916,  0.00211287870781706,  0.00332839512595393, 
 10/05/2016,  0.154774841928132,  0.00167465924896396,  0.00346521681678403, 
 11/05/2016,  0.167585302620453,  0.00122180707838317,  0.00333413459421661, 
 12/05/2016,  0.153951646324034,  0.00130037161537918,  0.00306420972200683, 
 13/05/2016,  0.145213351016799,  0.000732736900058582,  0.00209710744195745, 
 14/05/2016,  0.134530114371389,  0.000951003222352999,  0.00267466337196853, 
 15/05/2016,  0.149948687435619,  0.000739512853415383,  0.00153287110742553, 
 16/05/2016,  0.118183740008878,  0.000604595545865928,  0.00233515809957789, 
 17/05/2016,  0.115809068702899,  0.000305753911527446,  0.00135617696332003, 
 18/05/2016,  0.126030580076946,  0.000180173119621137,  0.000858862356028664, 
 19/05/2016,  0.110129475376987,  0.00020293978406275,  0.000676241024533023, 
 20/05/2016,  0.114437175062519,  0.000188151887510603,  0.000611227693297606, 
 21/05/2016,  0.114361779932773,  0.000144668071561237,  0.00046655516340883, 
 22/05/2016,  0.0959887260624633,  0.000247573355793746,  0.000648988635375979, 
 23/05/2016,  0.0919481077045382,  0.000278336402515511,  0.000736346288992243, 
 24/05/2016,  0.0869114315731686,  0.00399687679181065,  0.0101888720187631, 
 25/05/2016,  0.0515768831671415,  0.00482139238503278,  0.00956773126343331, 
 26/05/2016,  0.029214676631128,  0.00433811277586317,  0.00753056030784363, 
 27/05/2016,  0.0238403208242345,  0.0146966071407787,  0.0219330208108737, 
 28/05/2016,  0.0128945767424843,  0.0109660057747083,  0.0196229447995394, 
 29/05/2016,  0.0057357894793948,  0.00797735381948046,  0.0127127561454869, 
