NOTE: This file contains pair joint default matrixes. There is a matrix for each day. Each element in 
the matrix is the joint probability of banks indicated in its row and  column headings going default. 
   
  Date ,    ,  HR,  DIA,  SYS 
11/07/2011, HR, 0.0182512703619371,  0.00256696803443335,  0.0047532373423031, 
, DIA, 0.00256696803443335,  0.0940535656149757,  0.0518146553730906, 
, SYS, 0.0047532373423031,  0.0518146553730906,  0.124874533604302, 
12/07/2011, HR, 0.0509051145608131,  0.00739132808574755,  0.0135009154407382, 
, DIA, 0.00739132808574755,  0.0988728542314478,  0.055369531158035, 
, SYS, 0.0135009154407382,  0.055369531158035,  0.132415547227488, 
13/07/2011, HR, 0.0265864223244428,  0.00348208240091446,  0.00490857110060348, 
, DIA, 0.00348208240091446,  0.0881621027803327,  0.0381769501343184, 
, SYS, 0.00490857110060348,  0.0381769501343184,  0.0857643167224746, 
14/07/2011, HR, 0.0247141666307193,  0.0017132002758233,  0.00481474269221452, 
, DIA, 0.0017132002758233,  0.0453118445268047,  0.0226064270646573, 
, SYS, 0.00481474269221452,  0.0226064270646573,  0.0864443429363575, 
15/07/2011, HR, 0.00926501150553942,  0.00043473157908201,  0.00127518459020408, 
, DIA, 0.00043473157908201,  0.0304534043385804,  0.0123070778095858, 
, SYS, 0.00127518459020408,  0.0123070778095858,  0.0568590472359119, 
16/07/2011, HR, 0.0171475565072429,  0.000427657547580118,  0.00087461255091951, 
, DIA, 0.000427657547580118,  0.01698187212068,  0.00328634582872533, 
, SYS, 0.00087461255091951,  0.00328634582872533,  0.0198918652900457, 
17/07/2011, HR, 0.0215703544806538,  0.00124493282688551,  0.000577118887048812, 
, DIA, 0.00124493282688551,  0.04117207012332,  0.00384877574622952, 
, SYS, 0.000577118887048812,  0.00384877574622952,  0.0109080808545759, 
18/07/2011, HR, 0.0216868796010036,  0.00163598945730056,  0.000609297207081016, 
, DIA, 0.00163598945730056,  0.0541519321342342,  0.00493420837242608, 
, SYS, 0.000609297207081016,  0.00493420837242608,  0.0117057571032322, 
19/07/2011, HR, 0.0282562019415784,  0.0020259743687194,  0.00123535455508099, 
, DIA, 0.0020259743687194,  0.0506672879683449,  0.00717879866094393, 
, SYS, 0.00123535455508099,  0.00717879866094393,  0.0183858696814466, 
20/07/2011, HR, 0.0418031438856619,  0.00497874985439859,  0.00100778854759986, 
, DIA, 0.00497874985439859,  0.0880469847075278,  0.0059438101967371, 
, SYS, 0.00100778854759986,  0.0059438101967371,  0.0107570911369684, 
21/07/2011, HR, 0.0433561220443767,  0.00698461983271425,  0.00187111191445275, 
, DIA, 0.00698461983271425,  0.119185923096904,  0.0124982579403282, 
, SYS, 0.00187111191445275,  0.0124982579403282,  0.0200016213551092, 
22/07/2011, HR, 0.0344909836452601,  0.00421987237845117,  0.00176283153885287, 
, DIA, 0.00421987237845117,  0.0881643551440762,  0.0122318073076352, 
, SYS, 0.00176283153885287,  0.0122318073076352,  0.0227955962881711, 
23/07/2011, HR, 0.035351827145455,  0.00546820877951085,  0.00168597116715645, 
, DIA, 0.00546820877951085,  0.113399626672608,  0.0133112838748224, 
, SYS, 0.00168597116715645,  0.0133112838748224,  0.0218136522740422, 
24/07/2011, HR, 0.0410825065983859,  0.00574957322159067,  0.00167121300803257, 
, DIA, 0.00574957322159067,  0.102766410142117,  0.0108324378804029, 
, SYS, 0.00167121300803257,  0.0108324378804029,  0.0185057391545945, 
25/07/2011, HR, 0.0474133619140274,  0.00571757058504791,  0.00377500382098005, 
, DIA, 0.00571757058504791,  0.0854350254289126,  0.0183140571719209, 
, SYS, 0.00377500382098005,  0.0183140571719209,  0.0363152957012114, 
26/07/2011, HR, 0.0506447516837953,  0.00773667290299264,  0.00727100505388986, 
, DIA, 0.00773667290299264,  0.10646225089136,  0.0360894826399968, 
, SYS, 0.00727100505388986,  0.0360894826399968,  0.0686179091385958, 
27/07/2011, HR, 0.0380441412412219,  0.0043453126369203,  0.00465852743448808, 
, DIA, 0.0043453126369203,  0.0783449939484853,  0.0250678556446042, 
, SYS, 0.00465852743448808,  0.0250678556446042,  0.0556367510697522, 
28/07/2011, HR, 0.051073980420551,  0.00624765290466745,  0.00636114716019766, 
, DIA, 0.00624765290466745,  0.0846855014144966,  0.0271423043441824, 
, SYS, 0.00636114716019766,  0.0271423043441824,  0.0579111840075567, 
29/07/2011, HR, 0.0473511242830485,  0.00467833879055666,  0.0058638051066746, 
, DIA, 0.00467833879055666,  0.0675028155447748,  0.0227158910326885, 
, SYS, 0.0058638051066746,  0.0227158910326885,  0.0562373851940095, 
30/07/2011, HR, 0.0535599373646693,  0.00280262466447832,  0.0107171575809127, 
, DIA, 0.00280262466447832,  0.0345101546802451,  0.0181381861657574, 
, SYS, 0.0107171575809127,  0.0181381861657574,  0.0910877661599927, 
31/07/2011, HR, 0.0379891542501379,  0.00173786665591186,  0.00465027154058517, 
, DIA, 0.00173786665591186,  0.0303067729186703,  0.0113955658707657, 
, SYS, 0.00465027154058517,  0.0113955658707657,  0.0522159578040661, 
01/08/2011, HR, 0.0344159123556897,  0.000937882800172511,  0.00553100202793916, 
, DIA, 0.000937882800172511,  0.0176722984045987,  0.00834257630786896, 
, SYS, 0.00553100202793916,  0.00834257630786896,  0.0682584992615877, 
02/08/2011, HR, 0.0248361761085147,  0.000693095776756482,  0.00404025684026039, 
, DIA, 0.000693095776756482,  0.0179993698324614,  0.00852493549416027, 
, SYS, 0.00404025684026039,  0.00852493549416027,  0.0682885189845451, 
03/08/2011, HR, 0.00183054920040643,  6.94164692376096E-05,  0.000270975004546591, 
, DIA, 6.94164692376096E-05,  0.0243273268490557,  0.0105174840561092, 
, SYS, 0.000270975004546591,  0.0105174840561092,  0.060248378337011, 
04/08/2011, HR, 0.00710527881846313,  0.000246282559049118,  0.000605519655723061, 
, DIA, 0.000246282559049118,  0.0229238515813426,  0.00658153501378239, 
, SYS, 0.000605519655723061,  0.00658153501378239,  0.0337024888113486, 
05/08/2011, HR, 0.00328248813750808,  6.01614740318172E-05,  0.000172430080213299, 
, DIA, 6.01614740318172E-05,  0.0123297316775055,  0.00249015709831786, 
, SYS, 0.000172430080213299,  0.00249015709831786,  0.0198350152073987, 
06/08/2011, HR, 0.0082206027456556,  0.000343365862604304,  0.000883483166851072, 
, DIA, 0.000343365862604304,  0.0273730703998283,  0.00927698230510571, 
, SYS, 0.000883483166851072,  0.00927698230510571,  0.0434164324584269, 
07/08/2011, HR, 0.0228240373879835,  0.00102472436578234,  0.00314204824389727, 
, DIA, 0.00102472436578234,  0.0293253933460898,  0.0119723640311546, 
, SYS, 0.00314204824389727,  0.0119723640311546,  0.0578558667377031, 
08/08/2011, HR, 0.0190511518161538,  0.000857616548915771,  0.00290496681220222, 
, DIA, 0.000857616548915771,  0.029221835453412,  0.0128115105691062, 
, SYS, 0.00290496681220222,  0.0128115105691062,  0.0642389044834086, 
09/08/2011, HR, 0.00761962671352225,  0.0004627779144507,  0.000613468340104138, 
, DIA, 0.0004627779144507,  0.0409160125287419,  0.0103517955601454, 
, SYS, 0.000613468340104138,  0.0103517955601454,  0.0328501587377087, 
10/08/2011, HR, 0.0114987655972556,  0.000876231271796456,  0.00171328610968044, 
, DIA, 0.000876231271796456,  0.0500564286947529,  0.0202220216235465, 
, SYS, 0.00171328610968044,  0.0202220216235465,  0.0639304873296474, 
11/08/2011, HR, 0.0355065596051224,  0.00269870806501329,  0.00309492442786203, 
, DIA, 0.00269870806501329,  0.052082847976218,  0.0136959984164823, 
, SYS, 0.00309492442786203,  0.0136959984164823,  0.0376962064374594, 
12/08/2011, HR, 0.054628020394333,  0.00282683424249718,  0.0055507621679098, 
, DIA, 0.00282683424249718,  0.0350309114625069,  0.0113129326916958, 
, SYS, 0.0055507621679098,  0.0113129326916958,  0.0442371977196961, 
13/08/2011, HR, 0.0595267791440436,  0.00619282518834556,  0.00971371149055813, 
, DIA, 0.00619282518834556,  0.0706876799133919,  0.0295636714944388, 
, SYS, 0.00971371149055813,  0.0295636714944388,  0.0766331653538433, 
14/08/2011, HR, 0.0497398436485222,  0.00812314733197047,  0.0119688359698983, 
, DIA, 0.00812314733197047,  0.111895488379381,  0.0570142981208025, 
, SYS, 0.0119688359698983,  0.0570142981208025,  0.11996099192719, 
15/08/2011, HR, 0.0752100595261522,  0.0125324664856881,  0.0167418515192974, 
, DIA, 0.0125324664856881,  0.115902026440018,  0.055806821819946, 
, SYS, 0.0167418515192974,  0.055806821819946,  0.113375279045171, 
16/08/2011, HR, 0.0493262797981266,  0.0060215862957007,  0.0084179617365819, 
, DIA, 0.0060215862957007,  0.0830454913553747,  0.0346325004928615, 
, SYS, 0.0084179617365819,  0.0346325004928615,  0.0804658027251039, 
17/08/2011, HR, 0.049745354954134,  0.00584929849104636,  0.00776781408235556, 
, DIA, 0.00584929849104636,  0.0801723569731435,  0.0314019565633587, 
