  Date ,  Banking Stability Indexes 
 21/03/2016, 1.21395782257654 
 22/03/2016, 1.14153009263735 
 23/03/2016, 1.17407953598701 
 24/03/2016, 1.15017824033739 
 25/03/2016, 1.12292339003916 
 26/03/2016, 1.07192331469732 
 27/03/2016, 1.08598584362386 
 28/03/2016, 1.09293158216892 
 29/03/2016, 1.10764659493925 
 30/03/2016, 1.10553196840301 
 31/03/2016, 1.10413657251064 
 01/04/2016, 1.14245281801702 
 02/04/2016, 1.14818424091544 
 03/04/2016, 1.15848559593703 
 04/04/2016, 1.16148024763997 
 05/04/2016, 1.16416345073044 
 06/04/2016, 1.17492913834526 
 07/04/2016, 1.18251144273029 
 08/04/2016, 1.16439815194064 
 09/04/2016, 1.16676462731059 
 10/04/2016, 1.22073200790316 
 11/04/2016, 1.2327816113723 
 12/04/2016, 1.24412420355314 
 13/04/2016, 1.24710920034128 
 14/04/2016, 1.23171533163486 
 15/04/2016, 1.23858422024796 
 16/04/2016, 1.25710784632477 
 17/04/2016, 1.24188718153105 
 18/04/2016, 1.26975993898784 
 19/04/2016, 1.24104477050152 
 20/04/2016, 1.26266669304624 
 21/04/2016, 1.23726141435838 
 22/04/2016, 1.21404467096365 
 23/04/2016, 1.21711866393998 
 24/04/2016, 1.23712327759516 
 25/04/2016, 1.24839302011255 
 26/04/2016, 1.25350186726927 
 27/04/2016, 1.25466421077328 
 28/04/2016, 1.25979771006076 
 29/04/2016, 1.27643128039563 
 30/04/2016, 1.27627108910165 
 01/05/2016, 1.2470336921144 
 02/05/2016, 1.23832268853745 
 03/05/2016, 1.19854837533918 
 04/05/2016, 1.16920843824786 
 05/05/2016, 1.16395219034098 
 06/05/2016, 1.13680616509626 
 07/05/2016, 1.11307271555142 
 08/05/2016, 1.12920287039163 
