NOTE: Each column in this file (except column 1) contains the conditional probabilities of at least one
other bank going default given the bank indicated in that column heading default.
   
  Date ,  rate_adj.00691212,  rate_adj.00593038,  rate_adj.00604611,  rate_adj.00695437,  rate_adj.00662577,  rate_adj.00224014,  rate_adj.00585018,  rate_adj.00566018,  rate_adj.01081165,  rate_adj.00767012 
 16/12/1998,  0.967717963186429,  0.843220235905789,  0.981691681463594,  0.98060197023515,  0.972942161804528,  0.929846598713285,  0.970573069430895,  0.979094791391731,  0.906290749647292,  0.960173051340959, 
 17/12/1998,  0.968918565277657,  0.845165369261713,  0.982907930143855,  0.979602458573932,  0.97001027641193,  0.927318526879169,  0.97087050738655,  0.978620701159918,  0.907039899368439,  0.959422412193776, 
 20/12/1998,  0.967983196473746,  0.842220346814133,  0.983793637172964,  0.978671577531028,  0.97045694485578,  0.926963535076757,  0.969212970126299,  0.979336732488969,  0.905739624964769,  0.959130773828708, 
 21/12/1998,  0.967228926151244,  0.832806864642309,  0.983817995259502,  0.976170446536498,  0.96941373540538,  0.925542938843464,  0.966658851676454,  0.978282272411791,  0.904049894227594,  0.957066119832357, 
 22/12/1998,  0.966511019496526,  0.838168259566094,  0.983478252221377,  0.975783697786738,  0.968509301016544,  0.929249127561581,  0.967031964666915,  0.9776956736463,  0.898708326207646,  0.956802510099348, 
 23/12/1998,  0.967136106318959,  0.838564776836347,  0.983372405068926,  0.97636874861094,  0.96759644215648,  0.928936360237575,  0.968048709035973,  0.977722531473764,  0.899762580535895,  0.957664685697569, 
 24/12/1998,  0.969125660381002,  0.851558880291151,  0.982675276702316,  0.973753347413402,  0.966835706421809,  0.929787416353349,  0.968331752879149,  0.978853486100699,  0.895515964354776,  0.955645499721303, 
 27/12/1998,  0.971195773097725,  0.850133754998491,  0.981928824919277,  0.972431828751576,  0.964719903567473,  0.925774511533638,  0.970299869222307,  0.977655536816137,  0.90055123862388,  0.955979282127919, 
 28/12/1998,  0.972493274126894,  0.849507288919427,  0.982069245010688,  0.971477952749735,  0.965127878994282,  0.930458999041261,  0.971246420338617,  0.977475329042639,  0.9014334546369,  0.956694859165109, 
 29/12/1998,  0.968888175375428,  0.858009608258941,  0.981956296435695,  0.974939162343308,  0.964569671725627,  0.936684773602137,  0.972450969319354,  0.977907970532687,  0.892309393855518,  0.955994913560058, 
 30/12/1998,  0.969114411101614,  0.858436314847867,  0.981988337033987,  0.97480704955662,  0.964579643732545,  0.937436442622466,  0.972638081261488,  0.97757408707924,  0.8910599579267,  0.956694482903402, 
 31/12/1998,  0.967659053848119,  0.855972686896583,  0.982688273826621,  0.975111911008511,  0.962950318510149,  0.937965214738527,  0.972492796462549,  0.978657238825562,  0.893178207769433,  0.954331049325373, 
 03/01/1999,  0.9660188546705,  0.853922753778866,  0.983214728027662,  0.974845801921869,  0.962672587292494,  0.937211418979258,  0.972442374802638,  0.978199685823044,  0.893087350845679,  0.95381038786666, 
 04/01/1999,  0.965067911020967,  0.84654696482334,  0.983773599988685,  0.975653947535278,  0.961937095675799,  0.933330236561721,  0.972257253891542,  0.97809722295282,  0.899221079268204,  0.95405447078532, 
 05/01/1999,  0.963567541422893,  0.8454735136573,  0.983883011742847,  0.976279016487167,  0.962730522234312,  0.933672565790797,  0.972243132658244,  0.978180079189627,  0.899229707177068,  0.954263913239242, 
 06/01/1999,  0.964531708967632,  0.840243485872506,  0.98295073094384,  0.974925643638721,  0.965376526024499,  0.93335650206634,  0.971338174122923,  0.978630133422976,  0.899238704683409,  0.953531388810783, 
 07/01/1999,  0.965618459867007,  0.850249290824036,  0.983340159572852,  0.975662657889692,  0.964666369882596,  0.936559633377513,  0.972455642151775,  0.979257858280623,  0.896405351896632,  0.953812489804861, 
 10/01/1999,  0.96568007564869,  0.856266467569631,  0.983210322583522,  0.975265443561309,  0.963601754582769,  0.936669621605217,  0.972958973613074,  0.978828849600742,  0.894732397020776,  0.954469960425465, 
 11/01/1999,  0.962534922751957,  0.854889196753737,  0.984200260878768,  0.975384515985683,  0.962940929289822,  0.937596478200848,  0.973032734390251,  0.978075829702342,  0.89427808978624,  0.95467799740186, 
 12/01/1999,  0.960039765188393,  0.85249989081746,  0.984691804751942,  0.975005341323152,  0.964611694414595,  0.937360986512163,  0.971765212713693,  0.978539217299361,  0.895678599899378,  0.955607986181968, 
 13/01/1999,  0.956773582192231,  0.85867684120961,  0.984915592203409,  0.977498863992622,  0.965367058249107,  0.941185799189509,  0.974638878505657,  0.978832759864839,  0.894712551137998,  0.955252013260074, 
 14/01/1999,  0.956857725197448,  0.853654896580285,  0.985054369635333,  0.978175568996171,  0.965841104584914,  0.940807178902527,  0.975526376840778,  0.977871895659605,  0.89797265571316,  0.957484873785587, 
 17/01/1999,  0.95821446616815,  0.855007184402311,  0.984797634705154,  0.976821654802168,  0.962988162876672,  0.940215241384141,  0.976450520992353,  0.976289028958926,  0.897645126536407,  0.955523696387649, 
 18/01/1999,  0.961549478438154,  0.857922418988347,  0.984715731203981,  0.976353306298059,  0.963718453989698,  0.942521716517218,  0.976594631745821,  0.975889590277343,  0.894905736799002,  0.959452611796631, 
 19/01/1999,  0.961403690812861,  0.859409688584896,  0.984294662579865,  0.976886195031404,  0.962659257605284,  0.943252623404501,  0.977738223387818,  0.974274242897968,  0.891555892477156,  0.958921113214565, 
 20/01/1999,  0.959479956823184,  0.853324772646137,  0.984878983572628,  0.976563752664713,  0.961411500006853,  0.941842583670235,  0.978185435264027,  0.971940465318108,  0.894377632080291,  0.958852228935018, 
