  Date ,  Banking Stability Indexes 
 16/12/1998, 3.72483185749833 
 17/12/1998, 3.70408149485373 
 20/12/1998, 3.68920133942321 
 21/12/1998, 3.63358098789289 
 22/12/1998, 3.64692114183575 
 23/12/1998, 3.65575778140924 
 24/12/1998, 3.7087320241614 
 27/12/1998, 3.71814978682715 
 28/12/1998, 3.73384665937264 
 29/12/1998, 3.75174129328447 
 30/12/1998, 3.75161381229701 
 31/12/1998, 3.75288673317501 
 03/01/1999, 3.73636732033982 
 04/01/1999, 3.71931611258671 
 05/01/1999, 3.72153606788587 
 06/01/1999, 3.7166846442583 
 07/01/1999, 3.7386124888144 
 10/01/1999, 3.77105403603205 
 11/01/1999, 3.76491109501388 
 12/01/1999, 3.78992324392778 
 13/01/1999, 3.81138141381581 
 14/01/1999, 3.81415769626539 
 17/01/1999, 3.79417888022069 
 18/01/1999, 3.83670710487241 
 19/01/1999, 3.80385247888612 
 20/01/1999, 3.76596151501937 
 21/01/1999, 3.78075449794126 
 24/01/1999, 3.8071943998112 
 25/01/1999, 3.77784535948668 
 26/01/1999, 3.76603403126101 
 27/01/1999, 3.76505429348711 
 28/01/1999, 3.77249208473951 
 31/01/1999, 3.78684509775541 
 01/02/1999, 3.80443670685388 
 02/02/1999, 3.80689510603035 
 03/02/1999, 3.82278913963246 
 04/02/1999, 3.81379011269974 
 07/02/1999, 3.82446690724509 
 08/02/1999, 3.87855922031445 
 09/02/1999, 3.8720808900213 
 10/02/1999, 3.881655149128 
 11/02/1999, 3.83964337096428 
 14/02/1999, 3.84467991997507 
 15/02/1999, 3.82257455383952 
 16/02/1999, 3.79347400476089 
 17/02/1999, 3.77228630568563 
 18/02/1999, 3.75483230616489 
 21/02/1999, 3.76297614825581 
 22/02/1999, 3.78174148846311 
 23/02/1999, 3.78756330770035 
 24/02/1999, 3.76709586376776 
 25/02/1999, 3.69294762843166 
 28/02/1999, 3.69001337550623 
 01/03/1999, 3.70204027589484 
 03/03/1999, 3.65801906832186 
 04/03/1999, 3.60754036480801 
 07/03/1999, 3.58812385563762 
 08/03/1999, 3.59254829282331 
 09/03/1999, 3.54884019557381 
 10/03/1999, 3.52055086055912 
 11/03/1999, 3.49821911715195 
 14/03/1999, 3.52579699458917 
 15/03/1999, 3.52438535299693 
 16/03/1999, 3.50938422894926 
 18/03/1999, 3.49041058318293 
 21/03/1999, 3.54861977250761 
 22/03/1999, 3.54213133723335 
 23/03/1999, 3.54982691846071 
 24/03/1999, 3.582923249629 
 25/03/1999, 3.64349320758527 
 28/03/1999, 3.57298678434038 
 29/03/1999, 3.60241196550898 
 30/03/1999, 3.55564916388236 
 04/04/1999, 3.49415292617168 
 05/04/1999, 3.51896422660883 
 08/04/1999, 3.4401285326383 
 11/04/1999, 3.36330157514503 
 12/04/1999, 3.30561064158921 
 13/04/1999, 3.21467628016367 
 14/04/1999, 3.1984008062655 
 15/04/1999, 3.22162017947377 
 18/04/1999, 3.25299787628392 
 19/04/1999, 3.28367548932471 
 22/04/1999, 3.27957384552364 
 25/04/1999, 3.29483071853618 
 26/04/1999, 3.26667238781695 
 27/04/1999, 3.32602493434135 
 28/04/1999, 3.42480772731241 
 29/04/1999, 3.46843602162797 
 02/05/1999, 3.49292631708979 
 03/05/1999, 3.41360182996171 
 04/05/1999, 3.43428231638214 
 05/05/1999, 3.48050915967159 
 06/05/1999, 3.42155119723411 
 09/05/1999, 3.4229497913761 
 10/05/1999, 3.35886240834061 
 11/05/1999, 3.38965765481785 
 12/05/1999, 3.30671400531921 
 13/05/1999, 3.31826547959072 
 16/05/1999, 3.30433118189545 
 18/05/1999, 3.28518772602705 
 19/05/1999, 3.30117973791014 
 23/05/1999, 3.40741562992359 
 24/05/1999, 3.42851745030399 
 25/05/1999, 3.55813443001995 
 26/05/1999, 3.59161064037902 
 27/05/1999, 3.60196010781723 
 30/05/1999, 3.62348107338403 
 31/05/1999, 3.63477127134504 
 01/06/1999, 3.60811921867982 
 02/06/1999, 3.66107527765888 
 03/06/1999, 3.66939723227068 
 06/06/1999, 3.67850383242253 
 07/06/1999, 3.68234933307088 
 08/06/1999, 3.60795530746703 
 09/06/1999, 3.61680413194496 
 10/06/1999, 3.62077128162364 
 13/06/1999, 3.65342777951938 
 14/06/1999, 3.65649709570153 
 15/06/1999, 3.68310506081831 
 16/06/1999, 3.69640148829632 
 17/06/1999, 3.70497352711352 
 20/06/1999, 3.61653001271947 
 21/06/1999, 3.63443812218171 
 22/06/1999, 3.58900680641673 
 23/06/1999, 3.62411476883163 
 24/06/1999, 3.59005416161094 
 27/06/1999, 3.56586392309003 
 28/06/1999, 3.59187507580893 
 29/06/1999, 3.60243450737299 
 30/06/1999, 3.5829962429622 
 01/07/1999, 3.53527874276954 
 04/07/1999, 3.46679667805874 
 05/07/1999, 3.49340621114049 
 06/07/1999, 3.48781855327114 
 07/07/1999, 3.48091453603046 
 08/07/1999, 3.45253519045082 
 11/07/1999, 3.46876257036043 
 12/07/1999, 3.4596597705556 
 13/07/1999, 3.4486703679242 
 14/07/1999, 3.45127475093184 
 15/07/1999, 3.41634023374276 
 18/07/1999, 3.42743095859654 
 19/07/1999, 3.39070587973349 
 20/07/1999, 3.36116739431998 
 21/07/1999, 3.22984541693086 
 25/07/1999, 3.18258893349603 
 26/07/1999, 3.21190077151978 
 27/07/1999, 3.19516130158246 
 28/07/1999, 3.17834318677382 
 29/07/1999, 3.22649264823137 
 01/08/1999, 3.28556707469122 
 02/08/1999, 3.22597876302766 
 03/08/1999, 3.24688951583508 
