NOTE: This file contains default dependent matrixes. There is a matrix for each day. Each element in the matrix 
is the conditional probability of the bank indicated in its row heading going default given the bank indicated in 
 its column heading default.
   
  Date ,    ,  HR,  DIA,  SYS 
, DIA, 0.710084523497923,  1,  0.717479411672161, 
, SYS, 0.248980118562431,  0.273168052668998,  1, 
25/04/2016, HR, 1,  0.200556445621637,  0.179424657141194, 
, DIA, 0.7312053311468,  1,  0.717938126796902, 
, SYS, 0.321370856567211,  0.352702597400032,  1, 
26/04/2016, HR, 1,  0.164500170999584,  0.154849355235522, 
, DIA, 0.791671216955129,  1,  0.761908138318665, 
, SYS, 0.372207259237538,  0.380539329344553,  1, 
27/04/2016, HR, 1,  0.241858621273304,  0.221319280215515, 
, DIA, 0.779673520886951,  1,  0.758409036224462, 
, SYS, 0.391661823083337,  0.416336300319227,  1, 
28/04/2016, HR, 1,  0.24513759004434,  0.223131162349395, 
, DIA, 0.766060930114482,  1,  0.750535400517802, 
, SYS, 0.372248851696653,  0.400673776227066,  1, 
29/04/2016, HR, 1,  0.257666360229797,  0.233767131669401, 
, DIA, 0.771385831526655,  1,  0.753663676057837, 
, SYS, 0.388265222462104,  0.418127462762176,  1, 
30/04/2016, HR, 1,  0.271243178238297,  0.24839889772882, 
, DIA, 0.777044131184428,  1,  0.763602747041161, 
, SYS, 0.389713382231925,  0.418192535572561,  1, 
01/05/2016, HR, 1,  0.328887950213929,  0.288823581613141, 
, DIA, 0.737983673371873,  1,  0.737717902336011, 
, SYS, 0.377374587224164,  0.429567615080253,  1, 
02/05/2016, HR, 1,  0.342197130927241,  0.290460743350303, 
, DIA, 0.719681489806354,  1,  0.715210061267198, 
, SYS, 0.385751427116769,  0.451637238684992,  1, 
03/05/2016, HR, 1,  0.328694610984911,  0.267787487930079, 
, DIA, 0.696311281510666,  1,  0.682449886485179, 
, SYS, 0.3833385876086,  0.461160578402525,  1, 
04/05/2016, HR, 1,  0.287779152485212,  0.225680452696407, 
, DIA, 0.732986403676196,  1,  0.666597206102327, 
, SYS, 0.471081965357742,  0.546297777139345,  1, 
05/05/2016, HR, 1,  0.311299182784851,  0.232283191016323, 
, DIA, 0.706533548645778,  1,  0.634488944944391, 
, SYS, 0.471508956361511,  0.567468050149295,  1, 
06/05/2016, HR, 1,  0.2873999523703,  0.216379005093335, 
, DIA, 0.690753239895135,  1,  0.631266813660919, 
, SYS, 0.431119844680943,  0.523310699580397,  1, 
07/05/2016, HR, 1,  0.319355970211638,  0.23562081378221, 
, DIA, 0.652314283946059,  1,  0.614171329331766, 
, SYS, 0.392751731644102,  0.501201251541452,  1, 
08/05/2016, HR, 1,  0.30343457361678,  0.226757591579113, 
, DIA, 0.667153512456115,  1,  0.622768078814843, 
, SYS, 0.402280782503301,  0.502496545853041,  1, 
09/05/2016, HR, 1,  0.303214728096111,  0.236353497731838, 
, DIA, 0.696712747356729,  1,  0.65418322997836, 
, SYS, 0.417087504260741,  0.502413253864644,  1, 
10/05/2016, HR, 1,  0.293227914996359,  0.228842107165449, 
, DIA, 0.699485763668661,  1,  0.654080240212035, 
, SYS, 0.418129536936145,  0.500993822798246,  1, 
11/05/2016, HR, 1,  0.230874412932086,  0.194366508802174, 
, DIA, 0.747344532221769,  1,  0.700124369202876, 
, SYS, 0.419302943571217,  0.466591275919831,  1, 
12/05/2016, HR, 1,  0.232420035248624,  0.193338556654804, 
, DIA, 0.747466193375952,  1,  0.69422594118543, 
, SYS, 0.431390778035246,  0.481654065460925,  1, 
13/05/2016, HR, 1,  0.167078289674997,  0.135284890446269, 
, DIA, 0.712605576543323,  1,  0.655465576276748, 
, SYS, 0.380069629087371,  0.431752206125454,  1, 
14/05/2016, HR, 1,  0.138947400403466,  0.110839748936251, 
, DIA, 0.719034361328308,  1,  0.645687416093268, 
, SYS, 0.398483050419341,  0.448577434948859,  1, 
15/05/2016, HR, 1,  0.124288010668178,  0.0971726885505375, 
, DIA, 0.719378347597224,  1,  0.633699517315271, 
, SYS, 0.412530402354691,  0.46480093469519,  1, 
16/05/2016, HR, 1,  0.132130033767251,  0.0942666621410071, 
, DIA, 0.692636110472181,  1,  0.58199650053323, 
, SYS, 0.435220559976201,  0.51258756162861,  1, 
17/05/2016, HR, 1,  0.190797520613283,  0.106191087005001, 
, DIA, 0.559770151922767,  1,  0.4424968468684, 
, SYS, 0.385166629447152,  0.547058482718597,  1, 
18/05/2016, HR, 1,  0.129806140452362,  0.0721278034443899, 
