NOTE: This file contains pair joint default matrixes. There is a matrix for each day. Each element in 
the matrix is the joint probability of banks indicated in its row and  column headings going default. 
   
  Date ,    ,  HR,  DIA,  SYS 
21/03/2016, HR, 0.0472081278256031,  0.00277270536053147,  0.00553947624981771, 
, DIA, 0.00277270536053147,  0.0210540030154735,  0.00948274941033072, 
, SYS, 0.00553947624981771,  0.00948274941033072,  0.022989739538168, 
22/03/2016, HR, 0.0532949196655693,  0.0018724575649278,  0.00434442265439436, 
, DIA, 0.0018724575649278,  0.0129772264775601,  0.00492313157812159, 
, SYS, 0.00434442265439436,  0.00492313157812159,  0.0153880070216487, 
23/03/2016, HR, 0.0542735030680254,  0.00255771598481187,  0.0052334634783479, 
, DIA, 0.00255771598481187,  0.0173191475239785,  0.00709472677300618, 
, SYS, 0.0052334634783479,  0.00709472677300618,  0.0189111599602204, 
24/03/2016, HR, 0.0440200202676513,  0.0017578695942319,  0.00346957674861841, 
, DIA, 0.0017578695942319,  0.0146742290010521,  0.0052459128020079, 
, SYS, 0.00346957674861841,  0.0052459128020079,  0.0144692904759829, 
25/03/2016, HR, 0.040088062527834,  0.00114963302472675,  0.00273539722244491, 
, DIA, 0.00114963302472675,  0.0105039561510426,  0.00352562429199179, 
, SYS, 0.00273539722244491,  0.00352562429199179,  0.0118408505840844, 
26/03/2016, HR, 0.0417236340188566,  0.000511744680683565,  0.00204712669216004, 
, DIA, 0.000511744680683565,  0.00459278579956989,  0.00131215590826102, 
, SYS, 0.00204712669216004,  0.00131215590826102,  0.00800639248548394, 
27/03/2016, HR, 0.0353757617117346,  0.000669524700857965,  0.00170106344967946, 
, DIA, 0.000669524700857965,  0.00710701428238347,  0.00189526454000704, 
, SYS, 0.00170106344967946,  0.00189526454000704,  0.00782684728121666, 
28/03/2016, HR, 0.0332712432912196,  0.000763823365859383,  0.00156496665285598, 
, DIA, 0.000763823365859383,  0.00867386252786513,  0.00220450515584791, 
, SYS, 0.00156496665285598,  0.00220450515584791,  0.00771106855412807, 
29/03/2016, HR, 0.0314328561877425,  0.000990040939713583,  0.00149419459072082, 
, DIA, 0.000990040939713583,  0.0120144905146153,  0.00290414103598766, 
, SYS, 0.00149419459072082,  0.00290414103598766,  0.00800119634053334, 
30/03/2016, HR, 0.0299515270385927,  0.000853621431100457,  0.00145075365110554, 
, DIA, 0.000853621431100457,  0.010762942010549,  0.0026894426807249, 
, SYS, 0.00145075365110554,  0.0026894426807249,  0.00799072097924627, 
31/03/2016, HR, 0.0276877786544368,  0.000780290552928396,  0.00128913594747475, 
, DIA, 0.000780290552928396,  0.0106544562859411,  0.00256898673245132, 
, SYS, 0.00128913594747475,  0.00256898673245132,  0.00758271824132404, 
01/04/2016, HR, 0.0282463568454256,  0.00102977635346916,  0.00190006654589166, 
, DIA, 0.00102977635346916,  0.0132587243026178,  0.00415281553791707, 
, SYS, 0.00190006654589166,  0.00415281553791707,  0.0113149987746836, 
02/04/2016, HR, 0.0297298763847676,  0.00134314368991441,  0.00189143526547716, 
, DIA, 0.00134314368991441,  0.0168431131350815,  0.00481374037435481, 
, SYS, 0.00189143526547716,  0.00481374037435481,  0.0111174620393797, 
03/04/2016, HR, 0.0312507963426675,  0.0019573509020506,  0.00190638488995472, 
, DIA, 0.0019573509020506,  0.0242019449038165,  0.00606188094390315, 
, SYS, 0.00190638488995472,  0.00606188094390315,  0.0113202515158089, 
04/04/2016, HR, 0.0328051648816536,  0.00237190596725736,  0.00197242038299015, 
, DIA, 0.00237190596725736,  0.0284731287509326,  0.00668511333889433, 
, SYS, 0.00197242038299015,  0.00668511333889433,  0.0115208662803142, 
05/04/2016, HR, 0.0328134573821681,  0.00232258120750158,  0.00203835747948577, 
, DIA, 0.00232258120750158,  0.0276802008746463,  0.00675867583950588, 
, SYS, 0.00203835747948577,  0.00675867583950588,  0.011852617342029, 
06/04/2016, HR, 0.0321470365352167,  0.00209516791862094,  0.00227093206945539, 
, DIA, 0.00209516791862094,  0.0247621433789415,  0.00700575935072127, 
, SYS, 0.00227093206945539,  0.00700575935072127,  0.0132198317164212, 
07/04/2016, HR, 0.0292621866476932,  0.00178220145134046,  0.00224116041696717, 
, DIA, 0.00178220145134046,  0.0225907361114355,  0.00698574594526584, 
, SYS, 0.00224116041696717,  0.00698574594526584,  0.0139661132806295, 
08/04/2016, HR, 0.0294872603644235,  0.00178546906922248,  0.00191118980395512, 
, DIA, 0.00178546906922248,  0.0230447632895866,  0.00615389898421376, 
, SYS, 0.00191118980395512,  0.00615389898421376,  0.0118506259635083, 
09/04/2016, HR, 0.0279466845149499,  0.00169793460803072,  0.00183005628603813, 
, DIA, 0.00169793460803072,  0.0230344001471705,  0.00618648541217808, 
, SYS, 0.00183005628603813,  0.00618648541217808,  0.0118930139970786, 
10/04/2016, HR, 0.0262594165458988,  0.00170836664618282,  0.00265352581004254, 
, DIA, 0.00170836664618282,  0.0231088897907268,  0.00883378164449445, 
, SYS, 0.00265352581004254,  0.00883378164449445,  0.0183200624048473, 
11/04/2016, HR, 0.0150781228658836,  0.00123230750609669,  0.00138412348813744, 
, DIA, 0.00123230750609669,  0.0296137940476768,  0.00955767690812693, 
, SYS, 0.00138412348813744,  0.00955767690812693,  0.0165112446389167, 
12/04/2016, HR, 0.0138453043972387,  0.00113391332649338,  0.00135794148658038, 
, DIA, 0.00113391332649338,  0.029283085504193,  0.0100040929928642, 
, SYS, 0.00135794148658038,  0.0100040929928642,  0.0175322223287889, 
13/04/2016, HR, 0.0150172399745859,  0.00120274820229011,  0.0015289028734028, 
, DIA, 0.00120274820229011,  0.0284398282350246,  0.0101346523238364, 
, SYS, 0.0015289028734028,  0.0101346523238364,  0.0182079626596509, 
14/04/2016, HR, 0.00897963105954467,  0.000677732895480197,  0.000781200870835366, 
, DIA, 0.000677732895480197,  0.0270402821625231,  0.0084677379747542, 
, SYS, 0.000781200870835366,  0.0084677379747542,  0.0149691753597497, 
15/04/2016, HR, 0.00955725696032563,  0.000753760397511693,  0.000871460155639375, 
, DIA, 0.000753760397511693,  0.0282045586643308,  0.00908416829487597, 
, SYS, 0.000871460155639375,  0.00908416829487597,  0.0158650302534244, 
16/04/2016, HR, 0.00584226650314594,  0.000448695924896404,  0.000579333433305419, 
, DIA, 0.000448695924896404,  0.0267993067639114,  0.00933047283433211, 
, SYS, 0.000579333433305419,  0.00933047283433211,  0.0168321645563703, 
17/04/2016, HR, 0.00564107552416252,  0.000587011564275041,  0.000513487722792851, 
, DIA, 0.000587011564275041,  0.0384149390448203,  0.0109701364857079, 
, SYS, 0.000513487722792851,  0.0109701364857079,  0.0165223248757594, 
18/04/2016, HR, 0.00397874768937026,  0.000417929949424307,  0.000416730979278681, 
, DIA, 0.000417929949424307,  0.0377519770207287,  0.0122540757065938, 
, SYS, 0.000416730979278681,  0.0122540757065938,  0.0188754423506409, 
19/04/2016, HR, 0.00325351278502227,  0.000330264666018877,  0.000289374454489001, 
, DIA, 0.000330264666018877,  0.037329358518688,  0.0104991081864022, 
, SYS, 0.000289374454489001,  0.0104991081864022,  0.0158831477201691, 
20/04/2016, HR, 0.00292507768547585,  0.00029993698097304,  0.000291897367921319, 
