NOTE: This file contains pair joint default matrixes. There is a matrix for each day. Each element in 
the matrix is the joint probability of banks indicated in its row and  column headings going default. 
   
  Date ,    ,  HR,  DIA,  SYS 
10/07/2011, HR, 0.00685923375519812,  0.0033947987364579,  0.000979190884192335, 
, DIA, 0.0033947987364579,  0.0229886161246483,  0.00332551365097073, 
, SYS, 0.000979190884192335,  0.00332551365097073,  0.0646749913584429, 
11/07/2011, HR, 0.00709395881979157,  0.00314394035842464,  0.0010327517431245, 
, DIA, 0.00314394035842464,  0.019143250352176,  0.00285856380164824, 
, SYS, 0.0010327517431245,  0.00285856380164824,  0.0665463300460342, 
12/07/2011, HR, 0.00972696258175695,  0.00455193272276215,  0.00136014136656601, 
, DIA, 0.00455193272276215,  0.0221092883232451,  0.00316898411336229, 
, SYS, 0.00136014136656601,  0.00316898411336229,  0.063671362281844, 
13/07/2011, HR, 0.00975590588284436,  0.00164131523168902,  0.00128871734670169, 
, DIA, 0.00164131523168902,  0.00573593445080685,  0.000833950176983966, 
, SYS, 0.00128871734670169,  0.000833950176983966,  0.0629460250159496, 
14/07/2011, HR, 0.00686213476036098,  0.00076755719883698,  0.00101632403063201, 
, DIA, 0.00076755719883698,  0.00334883168419174,  0.000548293149324205, 
, SYS, 0.00101632403063201,  0.000548293149324205,  0.0718260772855488, 
15/07/2011, HR, 0.00806478102004358,  0.00377667668963517,  0.00085698706912368, 
, DIA, 0.00377667668963517,  0.0211485086710978,  0.00229813134848211, 
, SYS, 0.00085698706912368,  0.00229813134848211,  0.0472774383546576, 
16/07/2011, HR, 0.0151984992625113,  0.0108987697184361,  0.00289677216272255, 
, DIA, 0.0108987697184361,  0.0604286623356913,  0.0112246230141363, 
, SYS, 0.00289677216272255,  0.0112246230141363,  0.0888995712065133, 
17/07/2011, HR, 0.0174551943791484,  0.0121963081684926,  0.00327239394144702, 
, DIA, 0.0121963081684926,  0.057558926732343,  0.0105838893927561, 
, SYS, 0.00327239394144702,  0.0105838893927561,  0.0874249081942715, 
18/07/2011, HR, 0.0183914075057542,  0.014332117968301,  0.00271670720979228, 
, DIA, 0.014332117968301,  0.0806226295211804,  0.0114451049092162, 
, SYS, 0.00271670720979228,  0.0114451049092162,  0.0678570437648061, 
