  Date ,   P(all banks going default)  
 10/07/2011, 0.00053413745901937 
 11/07/2011, 0.000509531767295469 
 12/07/2011, 0.000705554585113108 
 13/07/2011, 0.000255933525468914 
 14/07/2011, 0.000135331831097558 
 15/07/2011, 0.000446531997693768 
 16/07/2011, 0.00218595979856052 
 17/07/2011, 0.00241470163576248 
 18/07/2011, 0.00220676760166831 
 19/07/2011, 0.0029397781261188 
 20/07/2011, 0.000985015870498616 
 21/07/2011, 0.00236421185654058 
 22/07/2011, 0.00306543856488247 
 23/07/2011, 0.00363200970820586 
 24/07/2011, 0.00481848777408715 
 25/07/2011, 0.00447088973555002 
 26/07/2011, 0.00364465238659439 
 27/07/2011, 0.00540972996221941 
 28/07/2011, 0.00373842325081022 
 29/07/2011, 0.00230256117406164 
 30/07/2011, 0.00268542588508114 
 31/07/2011, 0.000944424205030869 
 01/08/2011, 6.08542876837778E-05 
 02/08/2011, 5.57968457424664E-05 
 03/08/2011, 9.26739539509453E-05 
 04/08/2011, 6.20926187486517E-05 
 05/08/2011, 0.000115840113552618 
 06/08/2011, 0.00205477148709824 
 07/08/2011, 0.00717418158337252 
 08/08/2011, 0.00708958554306893 
 09/08/2011, 0.00561437596473382 
 10/08/2011, 0.00568279303033204 
 11/08/2011, 0.00583653701582779 
 12/08/2011, 0.00471392572013688 
 13/08/2011, 0.00707704224492041 
 14/08/2011, 0.0145235527487935 
 15/08/2011, 0.0090812464713921 
 16/08/2011, 0.00239373573633638 
 17/08/2011, 2.54014077414205E-05 
 18/08/2011, 0.000283449243556464 
 19/08/2011, 0.00091252661396145 
 20/08/2011, 0.00134563914935939 
 21/08/2011, 0.00148276002207944 
 22/08/2011, 0.00281071885103437 
 23/08/2011, 0.00498289528387891 
 24/08/2011, 0.00201380387562709 
 25/08/2011, 0.00200114548028417 
 26/08/2011, 0.00414745992163273 
 27/08/2011, 0.00808789021648042 
