NOTE: Each column in this file (except column 1) contains the conditional probabilities of all other banks
going default given the bank indicated in that column heading default.
   
  Date ,  rate_adj.00691212,  rate_adj.00593038,  rate_adj.00604611,  rate_adj.00695437,  rate_adj.00662577,  rate_adj.00224014,  rate_adj.00585018,  rate_adj.00566018,  rate_adj.01081165,  rate_adj.00767012 
 16/12/1998,  0.00437804809806654,  0.00274894688339545,  0.0042062647247534,  0.00429256951707691,  0.00388661670223596,  0.00421813710972813,  0.0101319639650637,  0.0988076867331775,  0.00349451990758606,  0.103364877501638, 
 17/12/1998,  0.00428483019683113,  0.00262787583110984,  0.00415904360967482,  0.00407814288629977,  0.00361439743651447,  0.00393859835751788,  0.0101523253033896,  0.0988261029128531,  0.00329462200223096,  0.0970529476676655, 
 20/12/1998,  0.0050920370290264,  0.00311247312079755,  0.00509705473647045,  0.00481367282288737,  0.00436917157849802,  0.00463596999836326,  0.01152617482387,  0.115946832876918,  0.0038572086928426,  0.0965775529466368, 
 21/12/1998,  0.00548228687670011,  0.00324710171807845,  0.0055331576941133,  0.00503930526663962,  0.00467291781714341,  0.00505067166621191,  0.0120878705251259,  0.11948612119743,  0.00414055773417564,  0.0978624567180252, 
 22/12/1998,  0.00652358552058085,  0.00396032694739212,  0.00661298351655493,  0.00601517535765665,  0.00558160055358378,  0.00627985093092649,  0.0148537891494757,  0.123035756183503,  0.00494533787097821,  0.111749398395641, 
 23/12/1998,  0.00898700466840084,  0.00538773521918876,  0.00899315365445596,  0.00829365246409568,  0.00751835364277545,  0.0085329862404439,  0.020442654971029,  0.137036858497512,  0.00675744239498716,  0.128724252876857, 
 24/12/1998,  0.0110620423964566,  0.00693591868331155,  0.0109548843572472,  0.00984864994450595,  0.00925046523415049,  0.0104669570856281,  0.0252780149296461,  0.166959482731099,  0.00829646739595199,  0.124544177514785, 
 27/12/1998,  0.0164032557070249,  0.010073937318265,  0.015721662117973,  0.0141579785258291,  0.0131950062633643,  0.0150469816421679,  0.0391264176815784,  0.17447597052293,  0.0124617094935789,  0.152794593595479, 
 28/12/1998,  0.0188686938958919,  0.011366915566693,  0.0178034518070575,  0.0159001968055932,  0.0149907855428461,  0.0180826947924156,  0.0456008295503297,  0.179703767387025,  0.0144735634481717,  0.164413002176037, 
 29/12/1998,  0.0196671705221939,  0.0125868313229137,  0.0192326789425494,  0.0177933667201322,  0.0161888965597688,  0.0203074480505673,  0.0513360065986423,  0.197422807116871,  0.0151915176544971,  0.159876289489161, 
 30/12/1998,  0.0210917706428083,  0.0134190487746928,  0.020606820165188,  0.018982138254678,  0.0173029173333494,  0.0217222704977075,  0.0548792730945059,  0.195273697072732,  0.0160715165122067,  0.169594638368225, 
 31/12/1998,  0.023501487102807,  0.0150391948146573,  0.0234154090243069,  0.0215167310193887,  0.019220350619775,  0.0250756591506007,  0.0614801749900266,  0.228558394254026,  0.0185415831662616,  0.155768388535178, 
 03/01/1999,  0.0231863564801907,  0.0150399920684995,  0.0238228416792416,  0.0214209684023911,  0.0193325625442464,  0.0249806192026645,  0.0635062034871931,  0.226012232860173,  0.0185442504183973,  0.154415402227939, 
 04/01/1999,  0.0231716922686561,  0.0148273835278674,  0.0240748464387757,  0.0217385583974215,  0.0192259896036789,  0.0244432729643938,  0.0630328025281286,  0.224878241202055,  0.0190172855770462,  0.153640639836561, 
 05/01/1999,  0.0228549369032137,  0.014878923420109,  0.0241164164847521,  0.0218587623384184,  0.019423047293169,  0.0245459386830566,  0.0630101092579954,  0.224950793207398,  0.019118795750608,  0.154285955491613, 
 06/01/1999,  0.024435084705842,  0.0156001094953847,  0.025223531069274,  0.0228967940937214,  0.0211881517999101,  0.0262411061908109,  0.0646872634238997,  0.23602291895499,  0.0204106517370902,  0.154555895153126, 
 07/01/1999,  0.0221575214083664,  0.0143176836670046,  0.0228515872620577,  0.0207198670845264,  0.0188620094302106,  0.023782860278538,  0.0604639357983976,  0.235975517316074,  0.0179632106231217,  0.143620171254692, 
 10/01/1999,  0.0245172873238265,  0.0163989972616975,  0.025399248025055,  0.0229329484688534,  0.0209312492750164,  0.0263814064699593,  0.067237609746077,  0.231367799757756,  0.0201028152858498,  0.159709699657753, 
 11/01/1999,  0.0252042471909937,  0.0174434465140594,  0.02744458281486,  0.0241323517502342,  0.0221926914119974,  0.0283059928824705,  0.0728131386936452,  0.22606392349424,  0.0214412680681316,  0.168038318327268, 
 12/01/1999,  0.0267049213565621,  0.0192662373809238,  0.0300477174440666,  0.0260253971940869,  0.0247321061462449,  0.0308637676501327,  0.0734777180991883,  0.229012006001478,  0.023913544403313,  0.182214516507432, 
 13/01/1999,  0.0266989431518113,  0.0202553057287649,  0.0309498467034656,  0.0272274665640116,  0.0256900275628897,  0.0326029057765549,  0.0852151010548792,  0.236848567379477,  0.024717965768406,  0.171728659728592, 
 14/01/1999,  0.0300088116555344,  0.0223093228485389,  0.0346564679471208,  0.0307199944336973,  0.0288217318909027,  0.0364073543426244,  0.0959270901777407,  0.226999374643977,  0.0279185743323123,  0.192520350982089, 
 17/01/1999,  0.0295465919642498,  0.0217929575503952,  0.0338245279600301,  0.0295620606703541,  0.0274846854097896,  0.0361531466819396,  0.103560863691106,  0.217921858606121,  0.027571962080437,  0.184329397129606, 
 18/01/1999,  0.0367339098499955,  0.0263578379333095,  0.0408868694192567,  0.0357060586716344,  0.0333533522317855,  0.0434139889489074,  0.113741164225572,  0.214127877331657,  0.0323552662479852,  0.224755985819086, 
