"DATE_VALUE","00224014","00566018","00585018","00593038","00604611","00662577","00691212","00695437","00767012","01081165"
1998-12-16,2448.567389272,690.962822425,286.357266821,2130.146322881,581.578463689,683.447552003,489.064252219,799.524289399,356.653183767,164.369793913
1998-12-17,2431.323956953,684.08757046,279.84914712,2119.862857874,568.983770845,683.447552003,480.87907645,790.657106892,356.653183767,164.369793913
1998-12-20,2414.080524635,684.08757046,274.64265136,2099.29592786,555.648213716,667.049495914,475.763341594,788.440311265,356.653183767,165.690033222
1998-12-21,2287.62868763,650.398835835,271.388591509,2046.409536396,534.163149452,638.938542618,454.277255199,766.272354997,356.653183767,157.76859737
1998-12-22,2235.898390674,670.337066532,266.832907719,2016.293674589,539.349199447,647.723215523,458.369843084,765.533423122,356.653183767,159.088836679
1998-12-23,2241.646201446,670.337066532,266.182095749,2045.675003181,546.016978011,646.551925803,478.832782508,761.838763744,356.653183767,161.729315296
1998-12-24,2218.654958355,671.368354326,260.324788019,1957.688981539,548.239570866,640.109832339,496.226281017,766.272354997,356.653183767,161.729315296
1998-12-27,2201.411526036,671.368354326,253.816668318,1899.031633777,542.312656586,648.894505244,485.994811306,756.666240614,356.653183767,156.448358062
1998-12-28,2161.176850625,671.368354326,253.816668318,1921.028139188,553.425620861,664.121271612,481.902223421,764.05555937,356.653183767,155.788238408
1998-12-29,2126.689985988,671.368354326,251.213420438,1891.699465307,552.684756576,661.778692171,480.87907645,756.666240614,356.653183767,155.128118753
1998-12-30,2166.924661398,718.463830283,251.213420438,1935.692476128,562.31599228,661.778692171,489.064252219,761.099831868,359.108627373,155.788238408
1998-12-31,2132.437796761,704.713326354,251.213420438,1987.017655419,557.129942285,660.02175759,488.041105248,756.666240614,359.108627373,153.14775979
1999-01-03,2132.437796761,704.713326354,247.308548618,2060.339340121,548.980435151,654.750953847,487.017958277,753.710513112,359.108627373,152.487640136
1999-01-04,2149.681229079,704.713326354,249.911796498,2082.335845532,545.276113726,652.408374406,495.203134046,746.321194356,359.108627373,149.187041865
1999-01-05,2149.681229079,735.651960194,251.213420438,2104.332350942,542.312656586,650.065794965,495.203134046,745.58226248,359.108627373,151.827520482
1999-01-06,2126.689985988,735.651960194,251.213420438,2126.328856353,540.799929511,634.839028596,490.08739919,747.060126232,359.108627373,150.507281173
1999-01-07,2138.185607534,756.277716087,250.562608468,2170.321867174,554.414473191,641.28112206,500.318868902,768.489150624,359.108627373,151.167400828
1999-01-10,2155.429039852,756.277716087,250.562608468,2126.328856353,558.952654417,647.137570663,506.457750729,771.444878126,359.108627373,149.847161519
1999-01-11,2109.446553669,745.96483814,258.372352109,2067.671508591,551.38901904,639.524187479,506.457750729,764.05555937,359.108627373,147.866802556
1999-01-12,2046.220635166,745.96483814,258.372352109,2009.01416083,545.338110737,630.153869713,506.457750729,754.449444988,359.108627373,143.906084631
1999-01-13,1988.742527437,745.96483814,251.864232408,1957.688981539,535.505384746,618.440972507,505.434603758,738.9318756,349.90071385,143.245964976
1999-01-14,2000.238148983,745.96483814,251.864232408,1957.688981539,546.094474275,619.612262227,506.457750729,750.75478561,343.148243934,143.245964976
1999-01-17,1960.003473572,745.96483814,242.752864827,1935.692476128,540.799929511,623.126131389,497.249427989,747.799058107,343.762104835,140.605486359
1999-01-18,2017.481581302,745.96483814,242.752864827,1965.021150009,549.119928426,631.910804294,492.133693133,752.971581236,343.762104835,141.265606014
1999-01-19,1988.742527437,745.96483814,234.922127252,2023.67849777,545.338110737,623.71177625,487.017958277,746.321194356,337.62349582,142.585845322
1999-01-20,1948.507852027,745.96483814,228.396512606,2031.01066624,537.77447536,617.269682786,487.017958277,742.626534978,331.484886805,139.945366705
1999-01-21,1971.499095118,745.96483814,221.870897961,1994.34982389,535.505384746,614.927103345,480.87907645,744.843330605,331.484886805,139.945366705
1999-01-24,2011.733770529,745.96483814,225.133705284,2009.01416083,544.5817472,627.225645412,487.017958277,749.276921858,331.484886805,145.226323939
1999-01-25,2034.725013621,718.463830283,228.396512606,1979.685486949,537.77447536,618.440972507,480.87907645,744.843330605,331.484886805,142.585845322
1999-01-26,2092.20312135,718.463830283,224.481143819,1987.017655419,544.5817472,632.496449155,496.226281017,750.015853734,331.484886805,145.226323939
1999-01-27,2115.194364442,718.463830283,224.481143819,1972.353318479,540.799929511,627.225645412,506.457750729,749.276921858,337.62349582,143.906084631
1999-01-28,2184.168093717,718.463830283,224.481143819,1979.685486949,540.799929511,632.496449155,507.4808977,744.104398729,337.62349582,143.906084631
1999-01-31,2276.133066084,718.463830283,224.481143819,1979.685486949,546.094474275,630.739514574,508.504044671,743.365466854,338.237356722,146.546563248
1999-02-01,2218.654958355,718.463830283,224.481143819,1957.688981539,540.799929511,628.396935132,513.619779527,752.971581236,339.465078525,145.886443594
1999-02-02,2241.646201446,718.463830283,224.481143819,1957.688981539,543.069020124,622.540486529,506.457750729,754.449444988,349.90071385,146.546563248
1999-02-03,2189.91590449,704.713326354,228.396512606,1979.685486949,540.799929511,630.153869713,498.27257496,752.971581236,349.90071385,149.187041865
1999-02-04,2126.689985988,704.713326354,228.396512606,1957.688981539,536.261748284,626.640000551,491.110546162,751.493717485,351.742296555,148.526922211
1999-02-07,2097.950932123,704.713326354,221.870897961,1891.699465307,523.403568142,619.612262227,485.994811306,739.670807476,351.742296555,141.265606014
1999-02-08,2097.950932123,704.713326354,221.870897961,1840.374286016,515.083569226,612.584523904,491.110546162,738.9318756,351.742296555,139.285247051
