  Date ,  Banking Stability Indexes 
 11/07/2011, 1.37735014140736 
 12/07/2011, 1.57657192031732 
 13/07/2011, 1.48924125017193 
 14/07/2011, 1.47760977604357 
 15/07/2011, 1.43851273681737 
 16/07/2011, 1.57605234189713 
 17/07/2011, 1.68600702968857 
 18/07/2011, 1.58562948175721 
 19/07/2011, 1.68236702838835 
 20/07/2011, 1.67306960395499 
 21/07/2011, 1.64857122753196 
 22/07/2011, 1.6131771009338 
 23/07/2011, 1.60321932692967 
 24/07/2011, 1.58636818866423 
 25/07/2011, 1.56251838804894 
 26/07/2011, 1.41313904757337 
 27/07/2011, 1.4118948597934 
 28/07/2011, 1.45649260746166 
 29/07/2011, 1.33028688024864 
 30/07/2011, 1.30127015676692 
 31/07/2011, 1.27969651694711 
 01/08/2011, 1.37162983868386 
 02/08/2011, 1.35282331541435 
 03/08/2011, 1.40960063555492 
 04/08/2011, 1.46716288285321 
 05/08/2011, 1.45285023751978 
 06/08/2011, 1.50104637833445 
 07/08/2011, 1.42757002112152 
 08/08/2011, 1.42697027530072 
 09/08/2011, 1.4036197990277 
 10/08/2011, 1.40540753158242 
 11/08/2011, 1.30106040767402 
 12/08/2011, 1.21889080273788 
 13/08/2011, 1.2386302099599 
 14/08/2011, 1.19236210861911 
 15/08/2011, 1.08450395066336 
 16/08/2011, 1.09615026680956 
 17/08/2011, 1.14094969349966 
 18/08/2011, 1.25113586670906 
 19/08/2011, 1.25792102006767 
 20/08/2011, 1.30897852447444 
 21/08/2011, 1.38444892782502 
 22/08/2011, 1.40238920572701 
