NOTE: This file contains default dependent matrixes. There is a matrix for each day. Each element in the matrix 
is the conditional probability of the bank indicated in its row heading going default given the bank indicated in 
 its column heading default.
   
  Date ,    ,  HR,  DIA,  SYS 
01/07/2011, HR, 1,  0.479799385270454,  0.46765720343465, 
, DIA, 0.354706499742858,  1,  0.448971448470726, 
, SYS, 0.38396018687516,  0.498617859870275,  1, 
02/07/2011, HR, 1,  0.500169885903916,  0.526700505654663, 
, DIA, 0.339683515489045,  1,  0.492358336986842, 
, SYS, 0.270259294204426,  0.371998567826332,  1, 
03/07/2011, HR, 1,  0.586879124210432,  0.609919573029561, 
, DIA, 0.23148000892216,  1,  0.41371519654059, 
, SYS, 0.174729880216234,  0.300490850811137,  1, 
04/07/2011, HR, 1,  0.603194987486551,  0.629079870082755, 
, DIA, 0.231608285442856,  1,  0.421447362350234, 
, SYS, 0.167436494737772,  0.292140190125226,  1, 
05/07/2011, HR, 1,  0.577312311936646,  0.600096856009832, 
, DIA, 0.312853735497228,  1,  0.484362300657494, 
, SYS, 0.252261947890031,  0.375725093730138,  1, 
06/07/2011, HR, 1,  0.622386917175419,  0.567333079139187, 
, DIA, 0.208981916945718,  1,  0.301369895565943, 
, SYS, 0.348172510038303,  0.55081782507706,  1, 
07/07/2011, HR, 1,  0.561915837073069,  0.542134844140695, 
, DIA, 0.198739854673175,  1,  0.32303934613561, 
, SYS, 0.241781076101969,  0.407339674548234,  1, 
08/07/2011, HR, 1,  0.579377812740834,  0.556301059657853, 
, DIA, 0.187371820480564,  1,  0.310689337653029, 
, SYS, 0.238026665277002,  0.41105473740399,  1, 
09/07/2011, HR, 1,  0.520525335140065,  0.545204149906533, 
, DIA, 0.202336263719529,  1,  0.370744392135219, 
, SYS, 0.145905031325384,  0.255243006896298,  1, 
10/07/2011, HR, 1,  0.45986725739558,  0.431140389249169, 
, DIA, 0.102038826893469,  1,  0.184966052349108, 
, SYS, 0.157939379784531,  0.305373100301161,  1, 
11/07/2011, HR, 1,  0.40659836987062,  0.453519236945786, 
, DIA, 0.174392332144912,  1,  0.342152418398358, 
, SYS, 0.0749386435456171,  0.131815953678094,  1, 
12/07/2011, HR, 1,  0.254589339687504,  0.303056962813847, 
, DIA, 0.228646040262307,  1,  0.378453871679949, 
, SYS, 0.0950776960923753,  0.132203777805123,  1, 
13/07/2011, HR, 1,  0.159813926258763,  0.200306177346514, 
, DIA, 0.260057779479096,  1,  0.39279393765923, 
, SYS, 0.102828521931843,  0.123916402860263,  1, 
14/07/2011, HR, 1,  0.123561696993911,  0.160241640191759, 
, DIA, 0.389768000624542,  1,  0.498688095503539, 
, SYS, 0.193253049530626,  0.190659152475003,  1, 
15/07/2011, HR, 1,  0.149243080757248,  0.192341664828478, 
, DIA, 0.444859517781599,  1,  0.548366063761102, 
, SYS, 0.237842035078497,  0.227487286410567,  1, 
16/07/2011, HR, 1,  0.10503643267287,  0.161502099021496, 
, DIA, 0.411127527173063,  1,  0.564896180360902, 
, SYS, 0.085002367890723,  0.0759599899064589,  1, 
17/07/2011, HR, 1,  0.121741353403216,  0.164419792104933, 
, DIA, 0.293100840249042,  1,  0.432358760082005, 
, SYS, 0.0875308861419189,  0.0956032277621461,  1, 
18/07/2011, HR, 1,  0.252719054017372,  0.314293570468122, 
, DIA, 0.414116771841408,  1,  0.551851188352866, 
, SYS, 0.212840080793074,  0.228063123400314,  1, 
19/07/2011, HR, 1,  0.294360112491874,  0.333487649741349, 
, DIA, 0.450954910669906,  1,  0.551082937615451, 
, SYS, 0.325626196236184,  0.351238719777289,  1, 
20/07/2011, HR, 1,  0.283059582812589,  0.313176548511962, 
, DIA, 0.438771652609131,  1,  0.527653055666266, 
, SYS, 0.339386443347094,  0.368886715239582,  1, 
21/07/2011, HR, 1,  0.382430631733015,  0.393478295878344, 
, DIA, 0.342902548441794,  1,  0.448619507864998, 
, SYS, 0.310504416436663,  0.394827244213455,  1, 
22/07/2011, HR, 1,  0.468628754322647,  0.489910191522093, 
, DIA, 0.402378026740385,  1,  0.525722070760604, 
, SYS, 0.343332648919493,  0.429091109368698,  1, 
23/07/2011, HR, 1,  0.545581377841933,  0.548459894210755, 
, DIA, 0.426502427472137,  1,  0.536430601716787, 
, SYS, 0.415951619094419,  0.520414656989046,  1, 
24/07/2011, HR, 1,  0.601561283518961,  0.602816292625308, 
, DIA, 0.36113749288939,  1,  0.499432508389975, 
, SYS, 0.354968805920848,  0.489879554193159,  1, 
25/07/2011, HR, 1,  0.574781512676589,  0.579962517045188, 
, DIA, 0.283938964617003,  1,  0.436283884250726, 
, SYS, 0.26821145343435,  0.408436326275096,  1, 
26/07/2011, HR, 1,  0.591491154613395,  0.561017644414355, 
, DIA, 0.288812885122096,  1,  0.397360493077921, 
, SYS, 0.365860666181966,  0.530707928492834,  1, 
