NOTE: Each column in this file (except column 1) contains the empirical marginal probabilities of the bank 
indicated in that column heading going default ---the marginal probabilities computed from the model.
   
  Date ,  rate_adj.00691212,  rate_adj.00593038,  rate_adj.00604611,  rate_adj.00695437,  rate_adj.00662577,  rate_adj.00224014,  rate_adj.00585018,  rate_adj.00566018,  rate_adj.01081165,  rate_adj.00767012 
 16/12/1998,  0.0461948266317544,  0.0735711465471276,  0.04808141812948,  0.0471147110929845,  0.0520357907410684,  0.0479460879987292,  0.0199609052006542,  0.00204683495554463,  0.0578743802195787,  0.00195659694705862, 
 17/12/1998,  0.0447503501055325,  0.0729667851176046,  0.0461037847815986,  0.0470183749658551,  0.0530510700354474,  0.0486842358417505,  0.0188870673811573,  0.0019402530981445,  0.0582001974733452,  0.00197570146972938, 
 20/12/1998,  0.0441800014911242,  0.0722789222006916,  0.0441365090294491,  0.0467348345983837,  0.0514894411011061,  0.0485262424357512,  0.0195178548848923,  0.00194025336347707,  0.0583235756912786,  0.0023293859713486, 
 21/12/1998,  0.0417283987262887,  0.0704526903065429,  0.0413447556911409,  0.0453965457588789,  0.0489559331828321,  0.0452943822267614,  0.0189253393207642,  0.00191459098791031,  0.0552502988437118,  0.00233763854740321, 
 22/12/1998,  0.0418969942243222,  0.0690141562525419,  0.0413306072959652,  0.0454381806799957,  0.048967786467673,  0.0435231070200872,  0.0184005997212558,  0.00222145780135105,  0.0552679373072971,  0.00244581755956933, 
 23/12/1998,  0.0415555124000342,  0.0693166114171657,  0.0415270989492281,  0.0450295670787269,  0.0496730516187682,  0.0437665751457113,  0.0182686476515265,  0.00272525968542673,  0.0552664067122887,  0.00290124294946194, 
 24/12/1998,  0.0412656032042492,  0.0658141873975487,  0.0416692533944583,  0.0463496880043734,  0.0493469074894856,  0.0436117057147175,  0.0180584533020165,  0.00273408760569298,  0.0550212313691674,  0.00366522033064896, 
 27/12/1998,  0.0398617664455339,  0.0649063747802719,  0.0415899250393866,  0.0461833409842709,  0.0495538036796577,  0.0434547449906471,  0.0167115410315828,  0.00374758051149471,  0.052469747377587,  0.00427935788093925, 
 28/12/1998,  0.0402606551461515,  0.0668313202138826,  0.0426695893102094,  0.047777142980632,  0.0506755282067287,  0.0420106619305956,  0.0166590387781559,  0.00422732421664604,  0.0524864507808086,  0.00462047407155388, 
 29/12/1998,  0.0424346808400521,  0.0663050194987739,  0.0433933361306818,  0.0469034396309827,  0.0515520064409715,  0.0410967494852049,  0.0162570128129711,  0.00422732393098033,  0.0549365848164085,  0.00522010109429091, 
 30/12/1998,  0.0422347801154177,  0.0663837139350873,  0.0432287120565205,  0.0469286591092733,  0.0514830116842297,  0.0410088943263944,  0.0162321081462563,  0.0045618345651776,  0.055427643964019,  0.00525256166724178, 
 31/12/1998,  0.0424633915153752,  0.0663568003709474,  0.0426194924462251,  0.0463803189776055,  0.0519216775899371,  0.0397976715989141,  0.0162321081261751,  0.00436629269816442,  0.0538224184570831,  0.00640664551532235, 
 03/01/1999,  0.042666675353256,  0.0657769458936891,  0.0415267312735586,  0.0461830075080575,  0.0511719407242831,  0.0396020905861137,  0.0155777654864742,  0.00437712920249563,  0.0533472489970825,  0.00640664551782811, 
 04/01/1999,  0.0424794661399349,  0.0663853548578241,  0.040885873131367,  0.0452799628753603,  0.0511974227307967,  0.0402696119516989,  0.0156160138445178,  0.0043771292030461,  0.0517592856949847,  0.00640664551978442, 
 05/01/1999,  0.0432491013426747,  0.0664332651253636,  0.0409868303929264,  0.0452201027153529,  0.050890854571215,  0.0402696137363722,  0.0156872519441861,  0.00439409629304019,  0.0517007178714809,  0.00640664573195457, 
 06/01/1999,  0.0424433729363034,  0.0664807777666179,  0.0411166624348447,  0.0452948744006412,  0.0489475166739982,  0.0395222444253376,  0.0160326369837691,  0.00439409620436433,  0.0508120674448497,  0.00671024171453302, 
 07/01/1999,  0.0434943081156684,  0.0673101938264393,  0.0421732657855868,  0.0465121740105097,  0.0510934991988969,  0.0405218738178396,  0.015938857603985,  0.00408400872976397,  0.0536499896422226,  0.00671024171442382, 
 10/01/1999,  0.0437116343465056,  0.0653509891874172,  0.0421937963502994,  0.0467314832967058,  0.0512005127901687,  0.0406229554525273,  0.015938858003764,  0.00463197927821059,  0.0533104781519231,  0.00671024195850612, 
 11/01/1999,  0.044737607929424,  0.0646419116667353,  0.041085621034828,  0.0467247345234358,  0.0508085165468736,  0.0398353003828318,  0.0154859102457848,  0.00498787122900545,  0.0525891344328111,  0.00671024170326672, 
 12/01/1999,  0.0457856974931335,  0.0634635308042889,  0.0406920577043228,  0.046981163887705,  0.0494379024759383,  0.0396161436060773,  0.0166404658858352,  0.0053390365555114,  0.0511301641287071,  0.00671024175508997, 
 13/01/1999,  0.0490719071485356,  0.0646827087597253,  0.0423319725796896,  0.0481193521892655,  0.0509990909477642,  0.040185622581199,  0.015374835204588,  0.00553167040842841,  0.0530046872835997,  0.00762929546567463, 
 14/01/1999,  0.0491476688889309,  0.0661097206719112,  0.0425566491426283,  0.0480098766574845,  0.0511719119779354,  0.0405100339258211,  0.0153748360343867,  0.00649721653805882,  0.052827307816086,  0.00766081793582021, 
 17/01/1999,  0.0479204002802646,  0.0649698188190281,  0.0418596978883242,  0.0478953252998114,  0.0515153982546438,  0.0391635209026602,  0.0136720050168151,  0.00649721210987182,  0.0513523303656546,  0.0076812735674613, 
